reference_date,target,horizon,location,output_type,output_type_id,value,target_end_date
2027-03-13,wk inc flu hosp,0,01,quantile,0.01,143,2027-03-13
2027-03-13,wk inc flu hosp,0,01,quantile,0.025,146,2027-03-13
2027-03-13,wk inc flu hosp,0,01,quantile,0.05,158,2027-03-13
2027-03-13,wk inc flu hosp,0,01,quantile,0.1,173,2027-03-13
2027-03-13,wk inc flu hosp,0,01,quantile,0.15,179,2027-03-13
2027-03-13,wk inc flu hosp,0,01,quantile,0.2,183,2027-03-13
2027-03-13,wk inc flu hosp,0,01,quantile,0.25,185,2027-03-13
2027-03-13,wk inc flu hosp,0,01,quantile,0.3,192,2027-03-13
2027-03-13,wk inc flu hosp,0,01,quantile,0.35,195,2027-03-13
2027-03-13,wk inc flu hosp,0,01,quantile,0.4,197,2027-03-13
2027-03-13,wk inc flu hosp,0,01,quantile,0.45,200,2027-03-13
2027-03-13,wk inc flu hosp,0,01,quantile,0.5,202,2027-03-13
2027-03-13,wk inc flu hosp,0,01,quantile,0.55,205,2027-03-13
2027-03-13,wk inc flu hosp,0,01,quantile,0.6,208,2027-03-13
2027-03-13,wk inc flu hosp,0,01,quantile,0.65,213,2027-03-13
2027-03-13,wk inc flu hosp,0,01,quantile,0.7,217,2027-03-13
2027-03-13,wk inc flu hosp,0,01,quantile,0.75,222,2027-03-13
2027-03-13,wk inc flu hosp,0,01,quantile,0.8,227,2027-03-13
2027-03-13,wk inc flu hosp,0,01,quantile,0.85,238,2027-03-13
2027-03-13,wk inc flu hosp,0,01,quantile,0.9,247,2027-03-13
2027-03-13,wk inc flu hosp,0,01,quantile,0.95,257,2027-03-13
2027-03-13,wk inc flu hosp,0,01,quantile,0.975,272,2027-03-13
2027-03-13,wk inc flu hosp,0,01,quantile,0.99,291,2027-03-13
2027-03-13,wk inc flu hosp,0,02,quantile,0.01,7,2027-03-13
2027-03-13,wk inc flu hosp,0,02,quantile,0.025,8,2027-03-13
2027-03-13,wk inc flu hosp,0,02,quantile,0.05,10,2027-03-13
2027-03-13,wk inc flu hosp,0,02,quantile,0.1,11,2027-03-13
2027-03-13,wk inc flu hosp,0,02,quantile,0.15,13,2027-03-13
2027-03-13,wk inc flu hosp,0,02,quantile,0.2,13,2027-03-13
2027-03-13,wk inc flu hosp,0,02,quantile,0.25,14,2027-03-13
2027-03-13,wk inc flu hosp,0,02,quantile,0.3,15,2027-03-13
2027-03-13,wk inc flu hosp,0,02,quantile,0.35,16,2027-03-13
2027-03-13,wk inc flu hosp,0,02,quantile,0.4,17,2027-03-13
2027-03-13,wk inc flu hosp,0,02,quantile,0.45,18,2027-03-13
2027-03-13,wk inc flu hosp,0,02,quantile,0.5,19,2027-03-13
2027-03-13,wk inc flu hosp,0,02,quantile,0.55,20,2027-03-13
2027-03-13,wk inc flu hosp,0,02,quantile,0.6,21,2027-03-13
2027-03-13,wk inc flu hosp,0,02,quantile,0.65,21,2027-03-13
2027-03-13,wk inc flu hosp,0,02,quantile,0.7,23,2027-03-13
2027-03-13,wk inc flu hosp,0,02,quantile,0.75,24,2027-03-13
2027-03-13,wk inc flu hosp,0,02,quantile,0.8,25,2027-03-13
2027-03-13,wk inc flu hosp,0,02,quantile,0.85,27,2027-03-13
2027-03-13,wk inc flu hosp,0,02,quantile,0.9,29,2027-03-13
2027-03-13,wk inc flu hosp,0,02,quantile,0.95,30,2027-03-13
2027-03-13,wk inc flu hosp,0,02,quantile,0.975,32,2027-03-13
2027-03-13,wk inc flu hosp,0,02,quantile,0.99,33,2027-03-13
2027-03-13,wk inc flu hosp,0,04,quantile,0.01,214,2027-03-13
2027-03-13,wk inc flu hosp,0,04,quantile,0.025,221,2027-03-13
2027-03-13,wk inc flu hosp,0,04,quantile,0.05,244,2027-03-13
2027-03-13,wk inc flu hosp,0,04,quantile,0.1,256,2027-03-13
2027-03-13,wk inc flu hosp,0,04,quantile,0.15,266,2027-03-13
2027-03-13,wk inc flu hosp,0,04,quantile,0.2,276,2027-03-13
2027-03-13,wk inc flu hosp,0,04,quantile,0.25,283,2027-03-13
2027-03-13,wk inc flu hosp,0,04,quantile,0.3,289,2027-03-13
2027-03-13,wk inc flu hosp,0,04,quantile,0.35,297,2027-03-13
2027-03-13,wk inc flu hosp,0,04,quantile,0.4,304,2027-03-13
2027-03-13,wk inc flu hosp,0,04,quantile,0.45,310,2027-03-13
2027-03-13,wk inc flu hosp,0,04,quantile,0.5,320,2027-03-13
2027-03-13,wk inc flu hosp,0,04,quantile,0.55,324,2027-03-13
2027-03-13,wk inc flu hosp,0,04,quantile,0.6,338,2027-03-13
2027-03-13,wk inc flu hosp,0,04,quantile,0.65,343,2027-03-13
2027-03-13,wk inc flu hosp,0,04,quantile,0.7,354,2027-03-13
2027-03-13,wk inc flu hosp,0,04,quantile,0.75,362,2027-03-13
2027-03-13,wk inc flu hosp,0,04,quantile,0.8,371,2027-03-13
2027-03-13,wk inc flu hosp,0,04,quantile,0.85,384,2027-03-13
2027-03-13,wk inc flu hosp,0,04,quantile,0.9,400,2027-03-13
2027-03-13,wk inc flu hosp,0,04,quantile,0.95,418,2027-03-13
2027-03-13,wk inc flu hosp,0,04,quantile,0.975,446,2027-03-13
2027-03-13,wk inc flu hosp,0,04,quantile,0.99,463,2027-03-13
2027-03-13,wk inc flu hosp,0,05,quantile,0.01,163,2027-03-13
2027-03-13,wk inc flu hosp,0,05,quantile,0.025,179,2027-03-13
2027-03-13,wk inc flu hosp,0,05,quantile,0.05,182,2027-03-13
2027-03-13,wk inc flu hosp,0,05,quantile,0.1,190,2027-03-13
2027-03-13,wk inc flu hosp,0,05,quantile,0.15,200,2027-03-13
2027-03-13,wk inc flu hosp,0,05,quantile,0.2,203,2027-03-13
2027-03-13,wk inc flu hosp,0,05,quantile,0.25,207,2027-03-13
2027-03-13,wk inc flu hosp,0,05,quantile,0.3,213,2027-03-13
2027-03-13,wk inc flu hosp,0,05,quantile,0.35,218,2027-03-13
2027-03-13,wk inc flu hosp,0,05,quantile,0.4,220,2027-03-13
2027-03-13,wk inc flu hosp,0,05,quantile,0.45,225,2027-03-13
2027-03-13,wk inc flu hosp,0,05,quantile,0.5,228,2027-03-13
2027-03-13,wk inc flu hosp,0,05,quantile,0.55,235,2027-03-13
2027-03-13,wk inc flu hosp,0,05,quantile,0.6,240,2027-03-13
2027-03-13,wk inc flu hosp,0,05,quantile,0.65,244,2027-03-13
2027-03-13,wk inc flu hosp,0,05,quantile,0.7,253,2027-03-13
2027-03-13,wk inc flu hosp,0,05,quantile,0.75,256,2027-03-13
2027-03-13,wk inc flu hosp,0,05,quantile,0.8,260,2027-03-13
2027-03-13,wk inc flu hosp,0,05,quantile,0.85,264,2027-03-13
2027-03-13,wk inc flu hosp,0,05,quantile,0.9,273,2027-03-13
2027-03-13,wk inc flu hosp,0,05,quantile,0.95,286,2027-03-13
2027-03-13,wk inc flu hosp,0,05,quantile,0.975,294,2027-03-13
2027-03-13,wk inc flu hosp,0,05,quantile,0.99,311,2027-03-13
2027-03-13,wk inc flu hosp,0,06,quantile,0.01,527,2027-03-13
2027-03-13,wk inc flu hosp,0,06,quantile,0.025,546,2027-03-13
2027-03-13,wk inc flu hosp,0,06,quantile,0.05,602,2027-03-13
2027-03-13,wk inc flu hosp,0,06,quantile,0.1,643,2027-03-13
2027-03-13,wk inc flu hosp,0,06,quantile,0.15,650,2027-03-13
2027-03-13,wk inc flu hosp,0,06,quantile,0.2,670,2027-03-13
2027-03-13,wk inc flu hosp,0,06,quantile,0.25,694,2027-03-13
2027-03-13,wk inc flu hosp,0,06,quantile,0.3,708,2027-03-13
2027-03-13,wk inc flu hosp,0,06,quantile,0.35,727,2027-03-13
2027-03-13,wk inc flu hosp,0,06,quantile,0.4,740,2027-03-13
2027-03-13,wk inc flu hosp,0,06,quantile,0.45,752,2027-03-13
2027-03-13,wk inc flu hosp,0,06,quantile,0.5,763,2027-03-13
2027-03-13,wk inc flu hosp,0,06,quantile,0.55,772,2027-03-13
2027-03-13,wk inc flu hosp,0,06,quantile,0.6,780,2027-03-13
2027-03-13,wk inc flu hosp,0,06,quantile,0.65,801,2027-03-13
2027-03-13,wk inc flu hosp,0,06,quantile,0.7,811,2027-03-13
2027-03-13,wk inc flu hosp,0,06,quantile,0.75,835,2027-03-13
2027-03-13,wk inc flu hosp,0,06,quantile,0.8,856,2027-03-13
2027-03-13,wk inc flu hosp,0,06,quantile,0.85,880,2027-03-13
2027-03-13,wk inc flu hosp,0,06,quantile,0.9,905,2027-03-13
2027-03-13,wk inc flu hosp,0,06,quantile,0.95,938,2027-03-13
2027-03-13,wk inc flu hosp,0,06,quantile,0.975,951,2027-03-13
2027-03-13,wk inc flu hosp,0,06,quantile,0.99,987,2027-03-13
2027-03-13,wk inc flu hosp,0,08,quantile,0.01,132,2027-03-13
2027-03-13,wk inc flu hosp,0,08,quantile,0.025,149,2027-03-13
2027-03-13,wk inc flu hosp,0,08,quantile,0.05,153,2027-03-13
2027-03-13,wk inc flu hosp,0,08,quantile,0.1,158,2027-03-13
2027-03-13,wk inc flu hosp,0,08,quantile,0.15,162,2027-03-13
2027-03-13,wk inc flu hosp,0,08,quantile,0.2,166,2027-03-13
2027-03-13,wk inc flu hosp,0,08,quantile,0.25,168,2027-03-13
2027-03-13,wk inc flu hosp,0,08,quantile,0.3,172,2027-03-13
2027-03-13,wk inc flu hosp,0,08,quantile,0.35,177,2027-03-13
2027-03-13,wk inc flu hosp,0,08,quantile,0.4,179,2027-03-13
2027-03-13,wk inc flu hosp,0,08,quantile,0.45,183,2027-03-13
2027-03-13,wk inc flu hosp,0,08,quantile,0.5,188,2027-03-13
2027-03-13,wk inc flu hosp,0,08,quantile,0.55,192,2027-03-13
2027-03-13,wk inc flu hosp,0,08,quantile,0.6,195,2027-03-13
2027-03-13,wk inc flu hosp,0,08,quantile,0.65,198,2027-03-13
2027-03-13,wk inc flu hosp,0,08,quantile,0.7,200,2027-03-13
2027-03-13,wk inc flu hosp,0,08,quantile,0.75,204,2027-03-13
2027-03-13,wk inc flu hosp,0,08,quantile,0.8,212,2027-03-13
2027-03-13,wk inc flu hosp,0,08,quantile,0.85,218,2027-03-13
2027-03-13,wk inc flu hosp,0,08,quantile,0.9,224,2027-03-13
2027-03-13,wk inc flu hosp,0,08,quantile,0.95,233,2027-03-13
2027-03-13,wk inc flu hosp,0,08,quantile,0.975,242,2027-03-13
2027-03-13,wk inc flu hosp,0,08,quantile,0.99,261,2027-03-13
2027-03-13,wk inc flu hosp,0,09,quantile,0.01,96,2027-03-13
2027-03-13,wk inc flu hosp,0,09,quantile,0.025,100,2027-03-13
2027-03-13,wk inc flu hosp,0,09,quantile,0.05,104,2027-03-13
2027-03-13,wk inc flu hosp,0,09,quantile,0.1,110,2027-03-13
2027-03-13,wk inc flu hosp,0,09,quantile,0.15,114,2027-03-13
2027-03-13,wk inc flu hosp,0,09,quantile,0.2,116,2027-03-13
2027-03-13,wk inc flu hosp,0,09,quantile,0.25,120,2027-03-13
2027-03-13,wk inc flu hosp,0,09,quantile,0.3,124,2027-03-13
2027-03-13,wk inc flu hosp,0,09,quantile,0.35,129,2027-03-13
2027-03-13,wk inc flu hosp,0,09,quantile,0.4,130,2027-03-13
2027-03-13,wk inc flu hosp,0,09,quantile,0.45,133,2027-03-13
2027-03-13,wk inc flu hosp,0,09,quantile,0.5,135,2027-03-13
2027-03-13,wk inc flu hosp,0,09,quantile,0.55,137,2027-03-13
2027-03-13,wk inc flu hosp,0,09,quantile,0.6,139,2027-03-13
2027-03-13,wk inc flu hosp,0,09,quantile,0.65,141,2027-03-13
2027-03-13,wk inc flu hosp,0,09,quantile,0.7,142,2027-03-13
2027-03-13,wk inc flu hosp,0,09,quantile,0.75,146,2027-03-13
2027-03-13,wk inc flu hosp,0,09,quantile,0.8,149,2027-03-13
2027-03-13,wk inc flu hosp,0,09,quantile,0.85,156,2027-03-13
2027-03-13,wk inc flu hosp,0,09,quantile,0.9,160,2027-03-13
2027-03-13,wk inc flu hosp,0,09,quantile,0.95,169,2027-03-13
2027-03-13,wk inc flu hosp,0,09,quantile,0.975,173,2027-03-13
2027-03-13,wk inc flu hosp,0,09,quantile,0.99,185,2027-03-13
2027-03-13,wk inc flu hosp,0,10,quantile,0.01,28,2027-03-13
2027-03-13,wk inc flu hosp,0,10,quantile,0.025,32,2027-03-13
2027-03-13,wk inc flu hosp,0,10,quantile,0.05,34,2027-03-13
2027-03-13,wk inc flu hosp,0,10,quantile,0.1,36,2027-03-13
2027-03-13,wk inc flu hosp,0,10,quantile,0.15,39,2027-03-13
2027-03-13,wk inc flu hosp,0,10,quantile,0.2,40,2027-03-13
2027-03-13,wk inc flu hosp,0,10,quantile,0.25,45,2027-03-13
2027-03-13,wk inc flu hosp,0,10,quantile,0.3,46,2027-03-13
2027-03-13,wk inc flu hosp,0,10,quantile,0.35,47,2027-03-13
2027-03-13,wk inc flu hosp,0,10,quantile,0.4,49,2027-03-13
2027-03-13,wk inc flu hosp,0,10,quantile,0.45,51,2027-03-13
2027-03-13,wk inc flu hosp,0,10,quantile,0.5,51,2027-03-13
2027-03-13,wk inc flu hosp,0,10,quantile,0.55,52,2027-03-13
2027-03-13,wk inc flu hosp,0,10,quantile,0.6,54,2027-03-13
2027-03-13,wk inc flu hosp,0,10,quantile,0.65,55,2027-03-13
2027-03-13,wk inc flu hosp,0,10,quantile,0.7,55,2027-03-13
2027-03-13,wk inc flu hosp,0,10,quantile,0.75,58,2027-03-13
2027-03-13,wk inc flu hosp,0,10,quantile,0.8,60,2027-03-13
2027-03-13,wk inc flu hosp,0,10,quantile,0.85,62,2027-03-13
2027-03-13,wk inc flu hosp,0,10,quantile,0.9,64,2027-03-13
2027-03-13,wk inc flu hosp,0,10,quantile,0.95,68,2027-03-13
2027-03-13,wk inc flu hosp,0,10,quantile,0.975,75,2027-03-13
2027-03-13,wk inc flu hosp,0,10,quantile,0.99,80,2027-03-13
2027-03-13,wk inc flu hosp,0,11,quantile,0.01,31,2027-03-13
2027-03-13,wk inc flu hosp,0,11,quantile,0.025,32,2027-03-13
2027-03-13,wk inc flu hosp,0,11,quantile,0.05,36,2027-03-13
2027-03-13,wk inc flu hosp,0,11,quantile,0.1,39,2027-03-13
2027-03-13,wk inc flu hosp,0,11,quantile,0.15,42,2027-03-13
2027-03-13,wk inc flu hosp,0,11,quantile,0.2,45,2027-03-13
2027-03-13,wk inc flu hosp,0,11,quantile,0.25,47,2027-03-13
2027-03-13,wk inc flu hosp,0,11,quantile,0.3,49,2027-03-13
2027-03-13,wk inc flu hosp,0,11,quantile,0.35,50,2027-03-13
2027-03-13,wk inc flu hosp,0,11,quantile,0.4,51,2027-03-13
2027-03-13,wk inc flu hosp,0,11,quantile,0.45,53,2027-03-13
2027-03-13,wk inc flu hosp,0,11,quantile,0.5,54,2027-03-13
2027-03-13,wk inc flu hosp,0,11,quantile,0.55,57,2027-03-13
2027-03-13,wk inc flu hosp,0,11,quantile,0.6,59,2027-03-13
2027-03-13,wk inc flu hosp,0,11,quantile,0.65,59,2027-03-13
2027-03-13,wk inc flu hosp,0,11,quantile,0.7,61,2027-03-13
2027-03-13,wk inc flu hosp,0,11,quantile,0.75,64,2027-03-13
2027-03-13,wk inc flu hosp,0,11,quantile,0.8,65,2027-03-13
2027-03-13,wk inc flu hosp,0,11,quantile,0.85,67,2027-03-13
2027-03-13,wk inc flu hosp,0,11,quantile,0.9,70,2027-03-13
2027-03-13,wk inc flu hosp,0,11,quantile,0.95,73,2027-03-13
2027-03-13,wk inc flu hosp,0,11,quantile,0.975,83,2027-03-13
2027-03-13,wk inc flu hosp,0,11,quantile,0.99,86,2027-03-13
2027-03-13,wk inc flu hosp,0,12,quantile,0.01,779,2027-03-13
2027-03-13,wk inc flu hosp,0,12,quantile,0.025,822,2027-03-13
2027-03-13,wk inc flu hosp,0,12,quantile,0.05,881,2027-03-13
2027-03-13,wk inc flu hosp,0,12,quantile,0.1,919,2027-03-13
2027-03-13,wk inc flu hosp,0,12,quantile,0.15,950,2027-03-13
2027-03-13,wk inc flu hosp,0,12,quantile,0.2,976,2027-03-13
2027-03-13,wk inc flu hosp,0,12,quantile,0.25,997,2027-03-13
2027-03-13,wk inc flu hosp,0,12,quantile,0.3,1027,2027-03-13
2027-03-13,wk inc flu hosp,0,12,quantile,0.35,1046,2027-03-13
2027-03-13,wk inc flu hosp,0,12,quantile,0.4,1056,2027-03-13
2027-03-13,wk inc flu hosp,0,12,quantile,0.45,1075,2027-03-13
2027-03-13,wk inc flu hosp,0,12,quantile,0.5,1095,2027-03-13
2027-03-13,wk inc flu hosp,0,12,quantile,0.55,1131,2027-03-13
2027-03-13,wk inc flu hosp,0,12,quantile,0.6,1144,2027-03-13
2027-03-13,wk inc flu hosp,0,12,quantile,0.65,1159,2027-03-13
2027-03-13,wk inc flu hosp,0,12,quantile,0.7,1188,2027-03-13
2027-03-13,wk inc flu hosp,0,12,quantile,0.75,1208,2027-03-13
2027-03-13,wk inc flu hosp,0,12,quantile,0.8,1240,2027-03-13
2027-03-13,wk inc flu hosp,0,12,quantile,0.85,1254,2027-03-13
2027-03-13,wk inc flu hosp,0,12,quantile,0.9,1306,2027-03-13
2027-03-13,wk inc flu hosp,0,12,quantile,0.95,1350,2027-03-13
2027-03-13,wk inc flu hosp,0,12,quantile,0.975,1383,2027-03-13
2027-03-13,wk inc flu hosp,0,12,quantile,0.99,1432,2027-03-13
2027-03-13,wk inc flu hosp,0,13,quantile,0.01,217,2027-03-13
2027-03-13,wk inc flu hosp,0,13,quantile,0.025,223,2027-03-13
2027-03-13,wk inc flu hosp,0,13,quantile,0.05,229,2027-03-13
2027-03-13,wk inc flu hosp,0,13,quantile,0.1,238,2027-03-13
2027-03-13,wk inc flu hosp,0,13,quantile,0.15,246,2027-03-13
2027-03-13,wk inc flu hosp,0,13,quantile,0.2,253,2027-03-13
2027-03-13,wk inc flu hosp,0,13,quantile,0.25,258,2027-03-13
2027-03-13,wk inc flu hosp,0,13,quantile,0.3,265,2027-03-13
2027-03-13,wk inc flu hosp,0,13,quantile,0.35,266,2027-03-13
2027-03-13,wk inc flu hosp,0,13,quantile,0.4,272,2027-03-13
2027-03-13,wk inc flu hosp,0,13,quantile,0.45,276,2027-03-13
2027-03-13,wk inc flu hosp,0,13,quantile,0.5,284,2027-03-13
2027-03-13,wk inc flu hosp,0,13,quantile,0.55,293,2027-03-13
2027-03-13,wk inc flu hosp,0,13,quantile,0.6,297,2027-03-13
2027-03-13,wk inc flu hosp,0,13,quantile,0.65,302,2027-03-13
2027-03-13,wk inc flu hosp,0,13,quantile,0.7,307,2027-03-13
2027-03-13,wk inc flu hosp,0,13,quantile,0.75,316,2027-03-13
2027-03-13,wk inc flu hosp,0,13,quantile,0.8,328,2027-03-13
2027-03-13,wk inc flu hosp,0,13,quantile,0.85,338,2027-03-13
2027-03-13,wk inc flu hosp,0,13,quantile,0.9,349,2027-03-13
2027-03-13,wk inc flu hosp,0,13,quantile,0.95,377,2027-03-13
2027-03-13,wk inc flu hosp,0,13,quantile,0.975,406,2027-03-13
2027-03-13,wk inc flu hosp,0,13,quantile,0.99,416,2027-03-13
2027-03-13,wk inc flu hosp,0,15,quantile,0.01,26,2027-03-13
