,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
"H[2023-2024, AL, 0]",13.929350668554353,2.1371513235202353,11.043066196006968,17.379951694182765,333.6102485898831,325.79544337771557,1.0023815700172156,0.11880328646746123,0.08819730007793204
"H[2023-2024, AL, 1]",14.703129935775278,1.5757314886092153,12.31547167719582,17.307734007496343,361.971686131063,277.87384407187415,0.9946257923970273,0.08358823021560298,0.05757084783799382
"H[2023-2024, AL, 2]",15.38980618004852,1.6014973649291782,12.925655981212547,18.00605465927448,271.5812649850515,284.1657212418327,1.0032391127190061,0.09668252991912481,0.06940132552591963
"H[2023-2024, AL, 3]",16.337803114558113,1.8933535168754752,13.463310448303796,19.365303290034692,415.00438988909184,416.5857801504487,1.0064905045676842,0.09284323067243205,0.062495041188383456
"H[2023-2024, AL, 4]",15.950152861686966,2.1352133092851755,12.57431927191249,19.568474942176397,129.78682165607228,166.05579065549702,1.010858360760636,0.18582763936595023,0.13025876587046936
"H[2023-2024, AL, 5]",12.33700035529665,2.1615531373441472,9.222055221640872,15.834658644636088,441.1420257290495,418.92871329909224,0.9997005853110517,0.10345296116167332,0.08237510358590437
"H[2023-2024, AL, 6]",15.387182528274925,2.3577351353524363,11.893257657832248,19.026306780306104,392.1020640966497,358.8831136497976,1.0104928538372893,0.11545723755967618,0.09745810952419323
"H[2023-2024, AL, 7]",20.443109023708395,2.7531356152943665,16.36993689532413,24.519378317032853,286.5753955941634,378.10824793333836,1.015175354761084,0.15667570730651423,0.1390152702062964
"H[2023-2024, AL, 8]",23.772002321050955,3.014719620463017,19.72223119325782,28.811542867381508,492.9109830554453,368.46243961934084,1.004600769266154,0.13485301770367275,0.11560571720119811
"H[2023-2024, AL, 9]",26.060050237982512,3.317048121867474,21.113914936070657,31.532397454243824,404.2608858471379,364.5960593151529,0.9994436840911607,0.16578099722182926,0.14853495090355687
"H[2023-2024, AL, 10]",30.203337641180795,3.22762075288246,25.424341828315296,35.786039931397916,382.94424333715614,320.79507108295644,0.9981436345806854,0.16551380123952794,0.13882713508876607
"H[2023-2024, AL, 11]",39.79538501382797,4.171871203182531,33.46034418043138,46.34796455703423,402.02241031450643,383.1145117538524,0.996191077578047,0.2081189922058643,0.17822038355688155
"H[2023-2024, AL, 12]",55.77750863484692,5.037177690164805,47.391360469463535,63.80581164000674,456.0823323767749,362.3311339369797,1.0025505323006334,0.23456593804212317,0.1613864544643754
"H[2023-2024, AL, 13]",70.08925362346848,6.247923790909076,60.72660079763939,79.94112923042299,380.6034144670063,435.1797252141867,1.0152220488890535,0.31704222448042624,0.23263330275316324
"H[2023-2024, AL, 14]",75.19710004816969,6.070391991733717,65.63120567469933,84.59595142232557,527.4439868655525,403.4901795730425,1.0031548684490483,0.2651639767187027,0.19397262557450007
"H[2023-2024, AL, 15]",81.43273028425426,6.196369670901991,71.67391014275071,91.36993044969223,593.3424935589168,391.1072840933971,0.99990977186965,0.25098205440137106,0.19941351225110332
"H[2023-2024, AL, 16]",103.04740571122369,7.039948301034361,91.31684311427676,114.36243232403247,639.2095754159091,405.025380411392,1.0067666379959104,0.2803287489645974,0.1982299968177562
"H[2023-2024, AL, 17]",155.62257456061153,9.039472750100256,142.16741597320532,170.37946965492455,590.6795128356389,428.59886987562214,1.011612246605145,0.3717730208248199,0.2560876532886211
"H[2023-2024, AL, 18]",254.98912872110682,12.730830989619598,236.36057319941511,276.44867512266524,582.4582879639936,372.6831048985231,1.009104601748441,0.5221103747097487,0.3847691141077916
"H[2023-2024, AL, 19]",347.67553597501467,16.21392795214192,322.541125016397,373.1849599488303,466.1700577371573,402.9140417950584,0.9988261674954029,0.7525980587422068,0.5254466380267279
"H[2023-2024, AL, 20]",325.8521859074167,15.96822829984072,301.02969242732513,353.3466436299698,439.71857841958587,351.6896248234644,1.0047665637891605,0.7640641514210288,0.5262139146082339
"H[2023-2024, AL, 21]",225.92414374659828,13.558467740396729,205.00086424545862,245.17228599655365,431.0293592095879,408.0233359348681,1.016737641139537,0.6483415977175462,0.4504528410848729
"H[2023-2024, AL, 22]",164.40796695614074,9.264756236690275,150.0255440744024,179.82684370803003,413.01202274222493,329.99441838012336,1.0067857455726474,0.45459655030963375,0.30806533004474385
"H[2023-2024, AL, 23]",136.32412740568202,8.477930703321652,123.27853587209141,150.9573944413821,514.2414924434822,371.2430536502957,1.0132513275133237,0.3684630431454447,0.255136526819126
"H[2023-2024, AL, 24]",118.66481341232,7.838426495917296,105.86850906317966,131.840121998671,498.5298725344117,429.6047389876772,0.998718709466813,0.35056109612236774,0.24357245888311777
