reference_date,target,horizon,location,output_type,output_type_id,value,target_end_date
2026-11-28,wk inc flu hosp,0,01,quantile,0.01,15,2026-11-28
2026-11-28,wk inc flu hosp,0,01,quantile,0.025,17,2026-11-28
2026-11-28,wk inc flu hosp,0,01,quantile,0.05,19,2026-11-28
2026-11-28,wk inc flu hosp,0,01,quantile,0.1,20,2026-11-28
2026-11-28,wk inc flu hosp,0,01,quantile,0.15,22,2026-11-28
2026-11-28,wk inc flu hosp,0,01,quantile,0.2,24,2026-11-28
2026-11-28,wk inc flu hosp,0,01,quantile,0.25,25,2026-11-28
2026-11-28,wk inc flu hosp,0,01,quantile,0.3,25,2026-11-28
2026-11-28,wk inc flu hosp,0,01,quantile,0.35,27,2026-11-28
2026-11-28,wk inc flu hosp,0,01,quantile,0.4,29,2026-11-28
2026-11-28,wk inc flu hosp,0,01,quantile,0.45,31,2026-11-28
2026-11-28,wk inc flu hosp,0,01,quantile,0.5,31,2026-11-28
2026-11-28,wk inc flu hosp,0,01,quantile,0.55,33,2026-11-28
2026-11-28,wk inc flu hosp,0,01,quantile,0.6,33,2026-11-28
2026-11-28,wk inc flu hosp,0,01,quantile,0.65,34,2026-11-28
2026-11-28,wk inc flu hosp,0,01,quantile,0.7,36,2026-11-28
2026-11-28,wk inc flu hosp,0,01,quantile,0.75,38,2026-11-28
2026-11-28,wk inc flu hosp,0,01,quantile,0.8,39,2026-11-28
2026-11-28,wk inc flu hosp,0,01,quantile,0.85,42,2026-11-28
2026-11-28,wk inc flu hosp,0,01,quantile,0.9,43,2026-11-28
2026-11-28,wk inc flu hosp,0,01,quantile,0.95,46,2026-11-28
2026-11-28,wk inc flu hosp,0,01,quantile,0.975,47,2026-11-28
2026-11-28,wk inc flu hosp,0,01,quantile,0.99,53,2026-11-28
2026-11-28,wk inc flu hosp,0,02,quantile,0.01,0,2026-11-28
2026-11-28,wk inc flu hosp,0,02,quantile,0.025,0,2026-11-28
2026-11-28,wk inc flu hosp,0,02,quantile,0.05,1,2026-11-28
2026-11-28,wk inc flu hosp,0,02,quantile,0.1,1,2026-11-28
2026-11-28,wk inc flu hosp,0,02,quantile,0.15,2,2026-11-28
2026-11-28,wk inc flu hosp,0,02,quantile,0.2,2,2026-11-28
2026-11-28,wk inc flu hosp,0,02,quantile,0.25,3,2026-11-28
2026-11-28,wk inc flu hosp,0,02,quantile,0.3,3,2026-11-28
2026-11-28,wk inc flu hosp,0,02,quantile,0.35,3,2026-11-28
2026-11-28,wk inc flu hosp,0,02,quantile,0.4,4,2026-11-28
2026-11-28,wk inc flu hosp,0,02,quantile,0.45,4,2026-11-28
2026-11-28,wk inc flu hosp,0,02,quantile,0.5,4,2026-11-28
2026-11-28,wk inc flu hosp,0,02,quantile,0.55,5,2026-11-28
2026-11-28,wk inc flu hosp,0,02,quantile,0.6,5,2026-11-28
2026-11-28,wk inc flu hosp,0,02,quantile,0.65,6,2026-11-28
2026-11-28,wk inc flu hosp,0,02,quantile,0.7,7,2026-11-28
2026-11-28,wk inc flu hosp,0,02,quantile,0.75,7,2026-11-28
2026-11-28,wk inc flu hosp,0,02,quantile,0.8,8,2026-11-28
2026-11-28,wk inc flu hosp,0,02,quantile,0.85,9,2026-11-28
2026-11-28,wk inc flu hosp,0,02,quantile,0.9,10,2026-11-28
2026-11-28,wk inc flu hosp,0,02,quantile,0.95,13,2026-11-28
2026-11-28,wk inc flu hosp,0,02,quantile,0.975,13,2026-11-28
2026-11-28,wk inc flu hosp,0,02,quantile,0.99,16,2026-11-28
2026-11-28,wk inc flu hosp,0,04,quantile,0.01,70,2026-11-28
2026-11-28,wk inc flu hosp,0,04,quantile,0.025,87,2026-11-28
2026-11-28,wk inc flu hosp,0,04,quantile,0.05,94,2026-11-28
2026-11-28,wk inc flu hosp,0,04,quantile,0.1,104,2026-11-28
2026-11-28,wk inc flu hosp,0,04,quantile,0.15,108,2026-11-28
2026-11-28,wk inc flu hosp,0,04,quantile,0.2,113,2026-11-28
2026-11-28,wk inc flu hosp,0,04,quantile,0.25,118,2026-11-28
2026-11-28,wk inc flu hosp,0,04,quantile,0.3,123,2026-11-28
2026-11-28,wk inc flu hosp,0,04,quantile,0.35,126,2026-11-28
2026-11-28,wk inc flu hosp,0,04,quantile,0.4,131,2026-11-28
2026-11-28,wk inc flu hosp,0,04,quantile,0.45,136,2026-11-28
2026-11-28,wk inc flu hosp,0,04,quantile,0.5,142,2026-11-28
2026-11-28,wk inc flu hosp,0,04,quantile,0.55,145,2026-11-28
2026-11-28,wk inc flu hosp,0,04,quantile,0.6,149,2026-11-28
2026-11-28,wk inc flu hosp,0,04,quantile,0.65,151,2026-11-28
2026-11-28,wk inc flu hosp,0,04,quantile,0.7,156,2026-11-28
2026-11-28,wk inc flu hosp,0,04,quantile,0.75,165,2026-11-28
2026-11-28,wk inc flu hosp,0,04,quantile,0.8,171,2026-11-28
2026-11-28,wk inc flu hosp,0,04,quantile,0.85,175,2026-11-28
2026-11-28,wk inc flu hosp,0,04,quantile,0.9,189,2026-11-28
