reference_date,target,horizon,location,output_type,output_type_id,value,target_end_date
2027-05-01,wk inc flu hosp,0,01,quantile,0.01,7,2027-05-01
2027-05-01,wk inc flu hosp,0,01,quantile,0.025,8,2027-05-01
2027-05-01,wk inc flu hosp,0,01,quantile,0.05,9,2027-05-01
2027-05-01,wk inc flu hosp,0,01,quantile,0.1,9,2027-05-01
2027-05-01,wk inc flu hosp,0,01,quantile,0.15,10,2027-05-01
2027-05-01,wk inc flu hosp,0,01,quantile,0.2,11,2027-05-01
2027-05-01,wk inc flu hosp,0,01,quantile,0.25,11,2027-05-01
2027-05-01,wk inc flu hosp,0,01,quantile,0.3,12,2027-05-01
2027-05-01,wk inc flu hosp,0,01,quantile,0.35,13,2027-05-01
2027-05-01,wk inc flu hosp,0,01,quantile,0.4,13,2027-05-01
2027-05-01,wk inc flu hosp,0,01,quantile,0.45,14,2027-05-01
2027-05-01,wk inc flu hosp,0,01,quantile,0.5,14,2027-05-01
2027-05-01,wk inc flu hosp,0,01,quantile,0.55,15,2027-05-01
2027-05-01,wk inc flu hosp,0,01,quantile,0.6,16,2027-05-01
2027-05-01,wk inc flu hosp,0,01,quantile,0.65,17,2027-05-01
2027-05-01,wk inc flu hosp,0,01,quantile,0.7,18,2027-05-01
2027-05-01,wk inc flu hosp,0,01,quantile,0.75,18,2027-05-01
2027-05-01,wk inc flu hosp,0,01,quantile,0.8,19,2027-05-01
2027-05-01,wk inc flu hosp,0,01,quantile,0.85,20,2027-05-01
2027-05-01,wk inc flu hosp,0,01,quantile,0.9,21,2027-05-01
2027-05-01,wk inc flu hosp,0,01,quantile,0.95,23,2027-05-01
2027-05-01,wk inc flu hosp,0,01,quantile,0.975,26,2027-05-01
2027-05-01,wk inc flu hosp,0,01,quantile,0.99,27,2027-05-01
2027-05-01,wk inc flu hosp,0,02,quantile,0.01,1,2027-05-01
2027-05-01,wk inc flu hosp,0,02,quantile,0.025,1,2027-05-01
2027-05-01,wk inc flu hosp,0,02,quantile,0.05,2,2027-05-01
2027-05-01,wk inc flu hosp,0,02,quantile,0.1,2,2027-05-01
2027-05-01,wk inc flu hosp,0,02,quantile,0.15,2,2027-05-01
2027-05-01,wk inc flu hosp,0,02,quantile,0.2,3,2027-05-01
2027-05-01,wk inc flu hosp,0,02,quantile,0.25,3,2027-05-01
2027-05-01,wk inc flu hosp,0,02,quantile,0.3,4,2027-05-01
2027-05-01,wk inc flu hosp,0,02,quantile,0.35,4,2027-05-01
2027-05-01,wk inc flu hosp,0,02,quantile,0.4,5,2027-05-01
2027-05-01,wk inc flu hosp,0,02,quantile,0.45,5,2027-05-01
2027-05-01,wk inc flu hosp,0,02,quantile,0.5,6,2027-05-01
2027-05-01,wk inc flu hosp,0,02,quantile,0.55,7,2027-05-01
2027-05-01,wk inc flu hosp,0,02,quantile,0.6,7,2027-05-01
2027-05-01,wk inc flu hosp,0,02,quantile,0.65,8,2027-05-01
2027-05-01,wk inc flu hosp,0,02,quantile,0.7,8,2027-05-01
2027-05-01,wk inc flu hosp,0,02,quantile,0.75,9,2027-05-01
2027-05-01,wk inc flu hosp,0,02,quantile,0.8,9,2027-05-01
2027-05-01,wk inc flu hosp,0,02,quantile,0.85,10,2027-05-01
2027-05-01,wk inc flu hosp,0,02,quantile,0.9,11,2027-05-01
2027-05-01,wk inc flu hosp,0,02,quantile,0.95,13,2027-05-01
2027-05-01,wk inc flu hosp,0,02,quantile,0.975,15,2027-05-01
2027-05-01,wk inc flu hosp,0,02,quantile,0.99,16,2027-05-01
2027-05-01,wk inc flu hosp,0,04,quantile,0.01,50,2027-05-01
2027-05-01,wk inc flu hosp,0,04,quantile,0.025,53,2027-05-01
2027-05-01,wk inc flu hosp,0,04,quantile,0.05,54,2027-05-01
2027-05-01,wk inc flu hosp,0,04,quantile,0.1,59,2027-05-01
2027-05-01,wk inc flu hosp,0,04,quantile,0.15,63,2027-05-01
2027-05-01,wk inc flu hosp,0,04,quantile,0.2,66,2027-05-01
2027-05-01,wk inc flu hosp,0,04,quantile,0.25,67,2027-05-01
2027-05-01,wk inc flu hosp,0,04,quantile,0.3,70,2027-05-01
2027-05-01,wk inc flu hosp,0,04,quantile,0.35,71,2027-05-01
2027-05-01,wk inc flu hosp,0,04,quantile,0.4,74,2027-05-01
2027-05-01,wk inc flu hosp,0,04,quantile,0.45,76,2027-05-01
2027-05-01,wk inc flu hosp,0,04,quantile,0.5,77,2027-05-01
2027-05-01,wk inc flu hosp,0,04,quantile,0.55,79,2027-05-01
2027-05-01,wk inc flu hosp,0,04,quantile,0.6,81,2027-05-01
2027-05-01,wk inc flu hosp,0,04,quantile,0.65,84,2027-05-01
2027-05-01,wk inc flu hosp,0,04,quantile,0.7,85,2027-05-01
2027-05-01,wk inc flu hosp,0,04,quantile,0.75,87,2027-05-01
2027-05-01,wk inc flu hosp,0,04,quantile,0.8,90,2027-05-01
2027-05-01,wk inc flu hosp,0,04,quantile,0.85,93,2027-05-01
2027-05-01,wk inc flu hosp,0,04,quantile,0.9,96,2027-05-01
2027-05-01,wk inc flu hosp,0,04,quantile,0.95,105,2027-05-01
2027-05-01,wk inc flu hosp,0,04,quantile,0.975,111,2027-05-01
2027-05-01,wk inc flu hosp,0,04,quantile,0.99,126,2027-05-01
2027-05-01,wk inc flu hosp,0,05,quantile,0.01,7,2027-05-01
2027-05-01,wk inc flu hosp,0,05,quantile,0.025,8,2027-05-01
2027-05-01,wk inc flu hosp,0,05,quantile,0.05,10,2027-05-01
2027-05-01,wk inc flu hosp,0,05,quantile,0.1,12,2027-05-01
2027-05-01,wk inc flu hosp,0,05,quantile,0.15,13,2027-05-01
2027-05-01,wk inc flu hosp,0,05,quantile,0.2,13,2027-05-01
2027-05-01,wk inc flu hosp,0,05,quantile,0.25,14,2027-05-01
2027-05-01,wk inc flu hosp,0,05,quantile,0.3,15,2027-05-01
2027-05-01,wk inc flu hosp,0,05,quantile,0.35,16,2027-05-01
2027-05-01,wk inc flu hosp,0,05,quantile,0.4,17,2027-05-01
2027-05-01,wk inc flu hosp,0,05,quantile,0.45,17,2027-05-01
2027-05-01,wk inc flu hosp,0,05,quantile,0.5,18,2027-05-01
2027-05-01,wk inc flu hosp,0,05,quantile,0.55,18,2027-05-01
2027-05-01,wk inc flu hosp,0,05,quantile,0.6,19,2027-05-01
2027-05-01,wk inc flu hosp,0,05,quantile,0.65,20,2027-05-01
2027-05-01,wk inc flu hosp,0,05,quantile,0.7,20,2027-05-01
2027-05-01,wk inc flu hosp,0,05,quantile,0.75,22,2027-05-01
2027-05-01,wk inc flu hosp,0,05,quantile,0.8,23,2027-05-01
2027-05-01,wk inc flu hosp,0,05,quantile,0.85,24,2027-05-01
2027-05-01,wk inc flu hosp,0,05,quantile,0.9,25,2027-05-01
2027-05-01,wk inc flu hosp,0,05,quantile,0.95,27,2027-05-01
2027-05-01,wk inc flu hosp,0,05,quantile,0.975,30,2027-05-01
2027-05-01,wk inc flu hosp,0,05,quantile,0.99,32,2027-05-01
