reference_date,target,horizon,location,output_type,output_type_id,value,target_end_date
2027-02-06,wk inc flu hosp,0,01,quantile,0.01,281,2027-02-06
2027-02-06,wk inc flu hosp,0,01,quantile,0.025,287,2027-02-06
2027-02-06,wk inc flu hosp,0,01,quantile,0.05,302,2027-02-06
2027-02-06,wk inc flu hosp,0,01,quantile,0.1,316,2027-02-06
2027-02-06,wk inc flu hosp,0,01,quantile,0.15,329,2027-02-06
2027-02-06,wk inc flu hosp,0,01,quantile,0.2,333,2027-02-06
2027-02-06,wk inc flu hosp,0,01,quantile,0.25,342,2027-02-06
2027-02-06,wk inc flu hosp,0,01,quantile,0.3,349,2027-02-06
2027-02-06,wk inc flu hosp,0,01,quantile,0.35,363,2027-02-06
2027-02-06,wk inc flu hosp,0,01,quantile,0.4,369,2027-02-06
2027-02-06,wk inc flu hosp,0,01,quantile,0.45,372,2027-02-06
2027-02-06,wk inc flu hosp,0,01,quantile,0.5,380,2027-02-06
2027-02-06,wk inc flu hosp,0,01,quantile,0.55,384,2027-02-06
2027-02-06,wk inc flu hosp,0,01,quantile,0.6,387,2027-02-06
2027-02-06,wk inc flu hosp,0,01,quantile,0.65,395,2027-02-06
2027-02-06,wk inc flu hosp,0,01,quantile,0.7,400,2027-02-06
2027-02-06,wk inc flu hosp,0,01,quantile,0.75,412,2027-02-06
2027-02-06,wk inc flu hosp,0,01,quantile,0.8,419,2027-02-06
2027-02-06,wk inc flu hosp,0,01,quantile,0.85,429,2027-02-06
2027-02-06,wk inc flu hosp,0,01,quantile,0.9,440,2027-02-06
2027-02-06,wk inc flu hosp,0,01,quantile,0.95,450,2027-02-06
2027-02-06,wk inc flu hosp,0,01,quantile,0.975,459,2027-02-06
2027-02-06,wk inc flu hosp,0,01,quantile,0.99,479,2027-02-06
2027-02-06,wk inc flu hosp,0,02,quantile,0.01,4,2027-02-06
2027-02-06,wk inc flu hosp,0,02,quantile,0.025,6,2027-02-06
2027-02-06,wk inc flu hosp,0,02,quantile,0.05,8,2027-02-06
2027-02-06,wk inc flu hosp,0,02,quantile,0.1,9,2027-02-06
2027-02-06,wk inc flu hosp,0,02,quantile,0.15,10,2027-02-06
2027-02-06,wk inc flu hosp,0,02,quantile,0.2,12,2027-02-06
2027-02-06,wk inc flu hosp,0,02,quantile,0.25,12,2027-02-06
