reference_date,target,horizon,location,output_type,output_type_id,value,target_end_date
2026-12-26,wk inc flu hosp,0,01,quantile,0.01,124,2026-12-26
2026-12-26,wk inc flu hosp,0,01,quantile,0.025,134,2026-12-26
2026-12-26,wk inc flu hosp,0,01,quantile,0.05,137,2026-12-26
2026-12-26,wk inc flu hosp,0,01,quantile,0.1,143,2026-12-26
2026-12-26,wk inc flu hosp,0,01,quantile,0.15,149,2026-12-26
2026-12-26,wk inc flu hosp,0,01,quantile,0.2,153,2026-12-26
2026-12-26,wk inc flu hosp,0,01,quantile,0.25,158,2026-12-26
2026-12-26,wk inc flu hosp,0,01,quantile,0.3,162,2026-12-26
2026-12-26,wk inc flu hosp,0,01,quantile,0.35,165,2026-12-26
2026-12-26,wk inc flu hosp,0,01,quantile,0.4,168,2026-12-26
2026-12-26,wk inc flu hosp,0,01,quantile,0.45,172,2026-12-26
2026-12-26,wk inc flu hosp,0,01,quantile,0.5,174,2026-12-26
2026-12-26,wk inc flu hosp,0,01,quantile,0.55,179,2026-12-26
2026-12-26,wk inc flu hosp,0,01,quantile,0.6,181,2026-12-26
2026-12-26,wk inc flu hosp,0,01,quantile,0.65,182,2026-12-26
2026-12-26,wk inc flu hosp,0,01,quantile,0.7,188,2026-12-26
2026-12-26,wk inc flu hosp,0,01,quantile,0.75,191,2026-12-26
2026-12-26,wk inc flu hosp,0,01,quantile,0.8,198,2026-12-26
2026-12-26,wk inc flu hosp,0,01,quantile,0.85,204,2026-12-26
2026-12-26,wk inc flu hosp,0,01,quantile,0.9,211,2026-12-26
2026-12-26,wk inc flu hosp,0,01,quantile,0.95,230,2026-12-26
2026-12-26,wk inc flu hosp,0,01,quantile,0.975,239,2026-12-26
2026-12-26,wk inc flu hosp,0,01,quantile,0.99,256,2026-12-26
2026-12-26,wk inc flu hosp,0,02,quantile,0.01,2,2026-12-26
2026-12-26,wk inc flu hosp,0,02,quantile,0.025,2,2026-12-26
2026-12-26,wk inc flu hosp,0,02,quantile,0.05,3,2026-12-26
2026-12-26,wk inc flu hosp,0,02,quantile,0.1,3,2026-12-26
2026-12-26,wk inc flu hosp,0,02,quantile,0.15,5,2026-12-26
2026-12-26,wk inc flu hosp,0,02,quantile,0.2,6,2026-12-26
2026-12-26,wk inc flu hosp,0,02,quantile,0.25,6,2026-12-26
2026-12-26,wk inc flu hosp,0,02,quantile,0.3,7,2026-12-26
2026-12-26,wk inc flu hosp,0,02,quantile,0.35,7,2026-12-26
2026-12-26,wk inc flu hosp,0,02,quantile,0.4,8,2026-12-26
2026-12-26,wk inc flu hosp,0,02,quantile,0.45,8,2026-12-26
2026-12-26,wk inc flu hosp,0,02,quantile,0.5,9,2026-12-26
2026-12-26,wk inc flu hosp,0,02,quantile,0.55,9,2026-12-26
2026-12-26,wk inc flu hosp,0,02,quantile,0.6,10,2026-12-26
2026-12-26,wk inc flu hosp,0,02,quantile,0.65,10,2026-12-26
2026-12-26,wk inc flu hosp,0,02,quantile,0.7,11,2026-12-26
2026-12-26,wk inc flu hosp,0,02,quantile,0.75,12,2026-12-26
2026-12-26,wk inc flu hosp,0,02,quantile,0.8,12,2026-12-26
2026-12-26,wk inc flu hosp,0,02,quantile,0.85,13,2026-12-26
2026-12-26,wk inc flu hosp,0,02,quantile,0.9,16,2026-12-26
2026-12-26,wk inc flu hosp,0,02,quantile,0.95,17,2026-12-26
2026-12-26,wk inc flu hosp,0,02,quantile,0.975,18,2026-12-26
2026-12-26,wk inc flu hosp,0,02,quantile,0.99,19,2026-12-26
2026-12-26,wk inc flu hosp,0,04,quantile,0.01,380,2026-12-26
2026-12-26,wk inc flu hosp,0,04,quantile,0.025,427,2026-12-26
2026-12-26,wk inc flu hosp,0,04,quantile,0.05,456,2026-12-26
2026-12-26,wk inc flu hosp,0,04,quantile,0.1,474,2026-12-26
2026-12-26,wk inc flu hosp,0,04,quantile,0.15,487,2026-12-26
2026-12-26,wk inc flu hosp,0,04,quantile,0.2,496,2026-12-26
2026-12-26,wk inc flu hosp,0,04,quantile,0.25,504,2026-12-26
2026-12-26,wk inc flu hosp,0,04,quantile,0.3,513,2026-12-26
2026-12-26,wk inc flu hosp,0,04,quantile,0.35,529,2026-12-26
2026-12-26,wk inc flu hosp,0,04,quantile,0.4,538,2026-12-26
2026-12-26,wk inc flu hosp,0,04,quantile,0.45,546,2026-12-26
2026-12-26,wk inc flu hosp,0,04,quantile,0.5,554,2026-12-26
2026-12-26,wk inc flu hosp,0,04,quantile,0.55,563,2026-12-26
