reference_date,target,horizon,location,output_type,output_type_id,value,target_end_date
2026-11-07,wk inc flu hosp,0,01,quantile,0.01,8,2026-11-07
2026-11-07,wk inc flu hosp,0,01,quantile,0.025,10,2026-11-07
2026-11-07,wk inc flu hosp,0,01,quantile,0.05,11,2026-11-07
2026-11-07,wk inc flu hosp,0,01,quantile,0.1,13,2026-11-07
2026-11-07,wk inc flu hosp,0,01,quantile,0.15,14,2026-11-07
2026-11-07,wk inc flu hosp,0,01,quantile,0.2,16,2026-11-07
2026-11-07,wk inc flu hosp,0,01,quantile,0.25,16,2026-11-07
2026-11-07,wk inc flu hosp,0,01,quantile,0.3,17,2026-11-07
2026-11-07,wk inc flu hosp,0,01,quantile,0.35,17,2026-11-07
2026-11-07,wk inc flu hosp,0,01,quantile,0.4,18,2026-11-07
2026-11-07,wk inc flu hosp,0,01,quantile,0.45,19,2026-11-07
2026-11-07,wk inc flu hosp,0,01,quantile,0.5,20,2026-11-07
2026-11-07,wk inc flu hosp,0,01,quantile,0.55,20,2026-11-07
2026-11-07,wk inc flu hosp,0,01,quantile,0.6,21,2026-11-07
2026-11-07,wk inc flu hosp,0,01,quantile,0.65,22,2026-11-07
2026-11-07,wk inc flu hosp,0,01,quantile,0.7,23,2026-11-07
2026-11-07,wk inc flu hosp,0,01,quantile,0.75,24,2026-11-07
2026-11-07,wk inc flu hosp,0,01,quantile,0.8,25,2026-11-07
2026-11-07,wk inc flu hosp,0,01,quantile,0.85,26,2026-11-07
2026-11-07,wk inc flu hosp,0,01,quantile,0.9,28,2026-11-07
2026-11-07,wk inc flu hosp,0,01,quantile,0.95,31,2026-11-07
2026-11-07,wk inc flu hosp,0,01,quantile,0.975,33,2026-11-07
2026-11-07,wk inc flu hosp,0,01,quantile,0.99,34,2026-11-07
2026-11-07,wk inc flu hosp,0,02,quantile,0.01,2,2026-11-07
2026-11-07,wk inc flu hosp,0,02,quantile,0.025,4,2026-11-07
2026-11-07,wk inc flu hosp,0,02,quantile,0.05,5,2026-11-07
2026-11-07,wk inc flu hosp,0,02,quantile,0.1,6,2026-11-07
2026-11-07,wk inc flu hosp,0,02,quantile,0.15,7,2026-11-07
2026-11-07,wk inc flu hosp,0,02,quantile,0.2,7,2026-11-07
2026-11-07,wk inc flu hosp,0,02,quantile,0.25,9,2026-11-07
2026-11-07,wk inc flu hosp,0,02,quantile,0.3,9,2026-11-07
2026-11-07,wk inc flu hosp,0,02,quantile,0.35,10,2026-11-07
2026-11-07,wk inc flu hosp,0,02,quantile,0.4,11,2026-11-07
2026-11-07,wk inc flu hosp,0,02,quantile,0.45,11,2026-11-07
2026-11-07,wk inc flu hosp,0,02,quantile,0.5,12,2026-11-07
2026-11-07,wk inc flu hosp,0,02,quantile,0.55,12,2026-11-07
2026-11-07,wk inc flu hosp,0,02,quantile,0.6,13,2026-11-07
2026-11-07,wk inc flu hosp,0,02,quantile,0.65,14,2026-11-07
2026-11-07,wk inc flu hosp,0,02,quantile,0.7,15,2026-11-07
2026-11-07,wk inc flu hosp,0,02,quantile,0.75,16,2026-11-07
2026-11-07,wk inc flu hosp,0,02,quantile,0.8,17,2026-11-07
2026-11-07,wk inc flu hosp,0,02,quantile,0.85,18,2026-11-07
2026-11-07,wk inc flu hosp,0,02,quantile,0.9,19,2026-11-07
2026-11-07,wk inc flu hosp,0,02,quantile,0.95,23,2026-11-07
2026-11-07,wk inc flu hosp,0,02,quantile,0.975,24,2026-11-07
2026-11-07,wk inc flu hosp,0,02,quantile,0.99,28,2026-11-07
2026-11-07,wk inc flu hosp,0,04,quantile,0.01,33,2026-11-07
2026-11-07,wk inc flu hosp,0,04,quantile,0.025,38,2026-11-07
2026-11-07,wk inc flu hosp,0,04,quantile,0.05,43,2026-11-07
2026-11-07,wk inc flu hosp,0,04,quantile,0.1,47,2026-11-07
2026-11-07,wk inc flu hosp,0,04,quantile,0.15,51,2026-11-07
2026-11-07,wk inc flu hosp,0,04,quantile,0.2,56,2026-11-07
2026-11-07,wk inc flu hosp,0,04,quantile,0.25,58,2026-11-07
2026-11-07,wk inc flu hosp,0,04,quantile,0.3,62,2026-11-07
2026-11-07,wk inc flu hosp,0,04,quantile,0.35,64,2026-11-07
2026-11-07,wk inc flu hosp,0,04,quantile,0.4,65,2026-11-07
2026-11-07,wk inc flu hosp,0,04,quantile,0.45,68,2026-11-07
2026-11-07,wk inc flu hosp,0,04,quantile,0.5,71,2026-11-07
2026-11-07,wk inc flu hosp,0,04,quantile,0.55,74,2026-11-07
2026-11-07,wk inc flu hosp,0,04,quantile,0.6,76,2026-11-07
2026-11-07,wk inc flu hosp,0,04,quantile,0.65,78,2026-11-07
2026-11-07,wk inc flu hosp,0,04,quantile,0.7,80,2026-11-07
2026-11-07,wk inc flu hosp,0,04,quantile,0.75,84,2026-11-07
2026-11-07,wk inc flu hosp,0,04,quantile,0.8,88,2026-11-07
2026-11-07,wk inc flu hosp,0,04,quantile,0.85,90,2026-11-07
2026-11-07,wk inc flu hosp,0,04,quantile,0.9,96,2026-11-07
2026-11-07,wk inc flu hosp,0,04,quantile,0.95,104,2026-11-07
2026-11-07,wk inc flu hosp,0,04,quantile,0.975,111,2026-11-07
2026-11-07,wk inc flu hosp,0,04,quantile,0.99,127,2026-11-07
2026-11-07,wk inc flu hosp,0,05,quantile,0.01,4,2026-11-07
2026-11-07,wk inc flu hosp,0,05,quantile,0.025,5,2026-11-07
2026-11-07,wk inc flu hosp,0,05,quantile,0.05,6,2026-11-07
2026-11-07,wk inc flu hosp,0,05,quantile,0.1,7,2026-11-07
2026-11-07,wk inc flu hosp,0,05,quantile,0.15,8,2026-11-07
2026-11-07,wk inc flu hosp,0,05,quantile,0.2,8,2026-11-07
2026-11-07,wk inc flu hosp,0,05,quantile,0.25,9,2026-11-07
2026-11-07,wk inc flu hosp,0,05,quantile,0.3,10,2026-11-07
2026-11-07,wk inc flu hosp,0,05,quantile,0.35,10,2026-11-07
2026-11-07,wk inc flu hosp,0,05,quantile,0.4,11,2026-11-07
2026-11-07,wk inc flu hosp,0,05,quantile,0.45,12,2026-11-07
2026-11-07,wk inc flu hosp,0,05,quantile,0.5,12,2026-11-07
2026-11-07,wk inc flu hosp,0,05,quantile,0.55,13,2026-11-07
2026-11-07,wk inc flu hosp,0,05,quantile,0.6,13,2026-11-07
2026-11-07,wk inc flu hosp,0,05,quantile,0.65,14,2026-11-07
2026-11-07,wk inc flu hosp,0,05,quantile,0.7,16,2026-11-07
2026-11-07,wk inc flu hosp,0,05,quantile,0.75,16,2026-11-07
2026-11-07,wk inc flu hosp,0,05,quantile,0.8,17,2026-11-07
2026-11-07,wk inc flu hosp,0,05,quantile,0.85,18,2026-11-07
2026-11-07,wk inc flu hosp,0,05,quantile,0.9,19,2026-11-07
2026-11-07,wk inc flu hosp,0,05,quantile,0.95,20,2026-11-07
2026-11-07,wk inc flu hosp,0,05,quantile,0.975,22,2026-11-07
2026-11-07,wk inc flu hosp,0,05,quantile,0.99,22,2026-11-07
2026-11-07,wk inc flu hosp,0,06,quantile,0.01,71,2026-11-07
2026-11-07,wk inc flu hosp,0,06,quantile,0.025,72,2026-11-07
2026-11-07,wk inc flu hosp,0,06,quantile,0.05,76,2026-11-07
2026-11-07,wk inc flu hosp,0,06,quantile,0.1,83,2026-11-07
2026-11-07,wk inc flu hosp,0,06,quantile,0.15,88,2026-11-07
2026-11-07,wk inc flu hosp,0,06,quantile,0.2,93,2026-11-07
2026-11-07,wk inc flu hosp,0,06,quantile,0.25,96,2026-11-07
2026-11-07,wk inc flu hosp,0,06,quantile,0.3,100,2026-11-07
2026-11-07,wk inc flu hosp,0,06,quantile,0.35,101,2026-11-07
2026-11-07,wk inc flu hosp,0,06,quantile,0.4,103,2026-11-07
2026-11-07,wk inc flu hosp,0,06,quantile,0.45,107,2026-11-07
2026-11-07,wk inc flu hosp,0,06,quantile,0.5,110,2026-11-07
2026-11-07,wk inc flu hosp,0,06,quantile,0.55,112,2026-11-07
2026-11-07,wk inc flu hosp,0,06,quantile,0.6,115,2026-11-07
2026-11-07,wk inc flu hosp,0,06,quantile,0.65,119,2026-11-07
2026-11-07,wk inc flu hosp,0,06,quantile,0.7,122,2026-11-07
2026-11-07,wk inc flu hosp,0,06,quantile,0.75,125,2026-11-07
2026-11-07,wk inc flu hosp,0,06,quantile,0.8,128,2026-11-07
2026-11-07,wk inc flu hosp,0,06,quantile,0.85,132,2026-11-07
2026-11-07,wk inc flu hosp,0,06,quantile,0.9,138,2026-11-07
2026-11-07,wk inc flu hosp,0,06,quantile,0.95,145,2026-11-07
2026-11-07,wk inc flu hosp,0,06,quantile,0.975,149,2026-11-07
2026-11-07,wk inc flu hosp,0,06,quantile,0.99,155,2026-11-07
2026-11-07,wk inc flu hosp,0,08,quantile,0.01,8,2026-11-07
2026-11-07,wk inc flu hosp,0,08,quantile,0.025,12,2026-11-07
2026-11-07,wk inc flu hosp,0,08,quantile,0.05,13,2026-11-07
2026-11-07,wk inc flu hosp,0,08,quantile,0.1,15,2026-11-07
2026-11-07,wk inc flu hosp,0,08,quantile,0.15,16,2026-11-07
2026-11-07,wk inc flu hosp,0,08,quantile,0.2,16,2026-11-07
2026-11-07,wk inc flu hosp,0,08,quantile,0.25,17,2026-11-07
2026-11-07,wk inc flu hosp,0,08,quantile,0.3,18,2026-11-07
