reference_date,target,horizon,location,output_type,output_type_id,value,target_end_date
2027-03-27,wk inc flu hosp,0,01,quantile,0.01,59,2027-03-27
2027-03-27,wk inc flu hosp,0,01,quantile,0.025,63,2027-03-27
2027-03-27,wk inc flu hosp,0,01,quantile,0.05,67,2027-03-27
2027-03-27,wk inc flu hosp,0,01,quantile,0.1,71,2027-03-27
2027-03-27,wk inc flu hosp,0,01,quantile,0.15,74,2027-03-27
2027-03-27,wk inc flu hosp,0,01,quantile,0.2,77,2027-03-27
2027-03-27,wk inc flu hosp,0,01,quantile,0.25,79,2027-03-27
2027-03-27,wk inc flu hosp,0,01,quantile,0.3,81,2027-03-27
2027-03-27,wk inc flu hosp,0,01,quantile,0.35,83,2027-03-27
2027-03-27,wk inc flu hosp,0,01,quantile,0.4,84,2027-03-27
2027-03-27,wk inc flu hosp,0,01,quantile,0.45,86,2027-03-27
2027-03-27,wk inc flu hosp,0,01,quantile,0.5,87,2027-03-27
2027-03-27,wk inc flu hosp,0,01,quantile,0.55,89,2027-03-27
2027-03-27,wk inc flu hosp,0,01,quantile,0.6,91,2027-03-27
2027-03-27,wk inc flu hosp,0,01,quantile,0.65,93,2027-03-27
2027-03-27,wk inc flu hosp,0,01,quantile,0.7,94,2027-03-27
2027-03-27,wk inc flu hosp,0,01,quantile,0.75,96,2027-03-27
2027-03-27,wk inc flu hosp,0,01,quantile,0.8,98,2027-03-27
2027-03-27,wk inc flu hosp,0,01,quantile,0.85,101,2027-03-27
2027-03-27,wk inc flu hosp,0,01,quantile,0.9,106,2027-03-27
2027-03-27,wk inc flu hosp,0,01,quantile,0.95,113,2027-03-27
2027-03-27,wk inc flu hosp,0,01,quantile,0.975,124,2027-03-27
2027-03-27,wk inc flu hosp,0,01,quantile,0.99,134,2027-03-27
2027-03-27,wk inc flu hosp,0,02,quantile,0.01,9,2027-03-27
2027-03-27,wk inc flu hosp,0,02,quantile,0.025,10,2027-03-27
2027-03-27,wk inc flu hosp,0,02,quantile,0.05,13,2027-03-27
2027-03-27,wk inc flu hosp,0,02,quantile,0.1,14,2027-03-27
2027-03-27,wk inc flu hosp,0,02,quantile,0.15,16,2027-03-27
2027-03-27,wk inc flu hosp,0,02,quantile,0.2,16,2027-03-27
2027-03-27,wk inc flu hosp,0,02,quantile,0.25,17,2027-03-27
2027-03-27,wk inc flu hosp,0,02,quantile,0.3,18,2027-03-27
2027-03-27,wk inc flu hosp,0,02,quantile,0.35,19,2027-03-27
2027-03-27,wk inc flu hosp,0,02,quantile,0.4,19,2027-03-27
2027-03-27,wk inc flu hosp,0,02,quantile,0.45,20,2027-03-27
2027-03-27,wk inc flu hosp,0,02,quantile,0.5,21,2027-03-27
2027-03-27,wk inc flu hosp,0,02,quantile,0.55,22,2027-03-27
2027-03-27,wk inc flu hosp,0,02,quantile,0.6,22,2027-03-27
2027-03-27,wk inc flu hosp,0,02,quantile,0.65,23,2027-03-27
2027-03-27,wk inc flu hosp,0,02,quantile,0.7,24,2027-03-27
2027-03-27,wk inc flu hosp,0,02,quantile,0.75,26,2027-03-27
2027-03-27,wk inc flu hosp,0,02,quantile,0.8,28,2027-03-27
2027-03-27,wk inc flu hosp,0,02,quantile,0.85,29,2027-03-27
2027-03-27,wk inc flu hosp,0,02,quantile,0.9,33,2027-03-27
2027-03-27,wk inc flu hosp,0,02,quantile,0.95,36,2027-03-27
2027-03-27,wk inc flu hosp,0,02,quantile,0.975,39,2027-03-27
2027-03-27,wk inc flu hosp,0,02,quantile,0.99,39,2027-03-27
2027-03-27,wk inc flu hosp,0,04,quantile,0.01,96,2027-03-27
2027-03-27,wk inc flu hosp,0,04,quantile,0.025,104,2027-03-27
2027-03-27,wk inc flu hosp,0,04,quantile,0.05,114,2027-03-27
2027-03-27,wk inc flu hosp,0,04,quantile,0.1,122,2027-03-27
2027-03-27,wk inc flu hosp,0,04,quantile,0.15,129,2027-03-27
2027-03-27,wk inc flu hosp,0,04,quantile,0.2,131,2027-03-27
2027-03-27,wk inc flu hosp,0,04,quantile,0.25,135,2027-03-27
2027-03-27,wk inc flu hosp,0,04,quantile,0.3,137,2027-03-27
2027-03-27,wk inc flu hosp,0,04,quantile,0.35,140,2027-03-27
2027-03-27,wk inc flu hosp,0,04,quantile,0.4,142,2027-03-27
2027-03-27,wk inc flu hosp,0,04,quantile,0.45,149,2027-03-27
