reference_date,target,horizon,location,output_type,output_type_id,value,target_end_date
2026-10-24,wk inc flu hosp,0,01,quantile,0.01,4,2026-10-24
2026-10-24,wk inc flu hosp,0,01,quantile,0.025,4,2026-10-24
2026-10-24,wk inc flu hosp,0,01,quantile,0.05,5,2026-10-24
2026-10-24,wk inc flu hosp,0,01,quantile,0.1,7,2026-10-24
2026-10-24,wk inc flu hosp,0,01,quantile,0.15,8,2026-10-24
2026-10-24,wk inc flu hosp,0,01,quantile,0.2,9,2026-10-24
2026-10-24,wk inc flu hosp,0,01,quantile,0.25,10,2026-10-24
2026-10-24,wk inc flu hosp,0,01,quantile,0.3,11,2026-10-24
2026-10-24,wk inc flu hosp,0,01,quantile,0.35,12,2026-10-24
2026-10-24,wk inc flu hosp,0,01,quantile,0.4,13,2026-10-24
2026-10-24,wk inc flu hosp,0,01,quantile,0.45,13,2026-10-24
2026-10-24,wk inc flu hosp,0,01,quantile,0.5,14,2026-10-24
2026-10-24,wk inc flu hosp,0,01,quantile,0.55,15,2026-10-24
2026-10-24,wk inc flu hosp,0,01,quantile,0.6,16,2026-10-24
2026-10-24,wk inc flu hosp,0,01,quantile,0.65,16,2026-10-24
2026-10-24,wk inc flu hosp,0,01,quantile,0.7,17,2026-10-24
2026-10-24,wk inc flu hosp,0,01,quantile,0.75,17,2026-10-24
2026-10-24,wk inc flu hosp,0,01,quantile,0.8,18,2026-10-24
2026-10-24,wk inc flu hosp,0,01,quantile,0.85,20,2026-10-24
2026-10-24,wk inc flu hosp,0,01,quantile,0.9,22,2026-10-24
2026-10-24,wk inc flu hosp,0,01,quantile,0.95,23,2026-10-24
2026-10-24,wk inc flu hosp,0,01,quantile,0.975,24,2026-10-24
2026-10-24,wk inc flu hosp,0,01,quantile,0.99,30,2026-10-24
2026-10-24,wk inc flu hosp,0,02,quantile,0.01,0,2026-10-24
2026-10-24,wk inc flu hosp,0,02,quantile,0.025,1,2026-10-24
2026-10-24,wk inc flu hosp,0,02,quantile,0.05,2,2026-10-24
2026-10-24,wk inc flu hosp,0,02,quantile,0.1,3,2026-10-24
2026-10-24,wk inc flu hosp,0,02,quantile,0.15,3,2026-10-24
2026-10-24,wk inc flu hosp,0,02,quantile,0.2,4,2026-10-24
2026-10-24,wk inc flu hosp,0,02,quantile,0.25,5,2026-10-24
2026-10-24,wk inc flu hosp,0,02,quantile,0.3,6,2026-10-24
2026-10-24,wk inc flu hosp,0,02,quantile,0.35,6,2026-10-24
2026-10-24,wk inc flu hosp,0,02,quantile,0.4,7,2026-10-24
2026-10-24,wk inc flu hosp,0,02,quantile,0.45,7,2026-10-24
2026-10-24,wk inc flu hosp,0,02,quantile,0.5,8,2026-10-24
2026-10-24,wk inc flu hosp,0,02,quantile,0.55,9,2026-10-24
2026-10-24,wk inc flu hosp,0,02,quantile,0.6,10,2026-10-24
2026-10-24,wk inc flu hosp,0,02,quantile,0.65,10,2026-10-24
2026-10-24,wk inc flu hosp,0,02,quantile,0.7,11,2026-10-24
2026-10-24,wk inc flu hosp,0,02,quantile,0.75,12,2026-10-24
2026-10-24,wk inc flu hosp,0,02,quantile,0.8,13,2026-10-24
2026-10-24,wk inc flu hosp,0,02,quantile,0.85,14,2026-10-24
2026-10-24,wk inc flu hosp,0,02,quantile,0.9,15,2026-10-24
