fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
1,AL,2026-05-16,2026-06-06,1.0,0.981
2,AK,2026-05-16,2026-06-06,0.925,0.985
4,AZ,2026-05-16,2026-06-06,1.0,1.0
5,AR,2026-05-16,2026-06-06,1.0,1.0
6,CA,2026-05-16,2026-06-06,1.0,1.0
8,CO,2026-05-16,2026-06-06,1.0,1.0
9,CT,2026-05-16,2026-06-06,1.0,1.0
10,DE,2026-05-16,2026-06-06,0.945,0.991
11,DC,2026-05-16,2026-06-06,0.865,0.979
12,FL,2026-05-16,2026-06-06,1.0,1.0
13,GA,2026-05-16,2026-06-06,1.0,0.842
15,HI,2026-05-16,2026-06-06,1.0,0.964
16,ID,2026-05-16,2026-06-06,0.984,0.999
17,IL,2026-05-16,2026-06-06,1.0,0.875
18,IN,2026-05-16,2026-06-06,1.0,0.928
19,IA,2026-05-16,2026-06-06,0.915,0.988
20,KS,2026-05-16,2026-06-06,1.0,1.0
21,KY,2026-05-16,2026-06-06,1.0,1.0
22,LA,2026-05-16,2026-06-06,1.0,1.0
23,ME,2026-05-16,2026-06-06,1.0,1.0
24,MD,2026-05-16,2026-06-06,1.0,0.985
25,MA,2026-05-16,2026-06-06,1.0,1.0
26,MI,2026-05-16,2026-06-06,1.0,0.9
27,MN,2026-05-16,2026-06-06,1.0,0.994
28,MS,2026-05-16,2026-06-06,1.0,0.996
29,MO,2026-05-16,2026-06-06,1.0,0.948
30,MT,2026-05-16,2026-06-06,0.962,0.993
31,NE,2026-05-16,2026-06-06,0.887,0.978
32,NV,2026-05-16,2026-06-06,1.0,0.434
33,NH,2026-05-16,2026-06-06,0.947,0.991
34,NJ,2026-05-16,2026-06-06,1.0,1.0
35,NM,2026-05-16,2026-06-06,1.0,1.0
36,NY,2026-05-16,2026-06-06,1.0,1.0
37,NC,2026-05-16,2026-06-06,1.0,0.989
38,ND,2026-05-16,2026-06-06,1.0,1.0
39,OH,2026-05-16,2026-06-06,1.0,0.958
40,OK,2026-05-16,2026-06-06,1.0,1.0
41,OR,2026-05-16,2026-06-06,0.969,0.997
42,PA,2026-05-16,2026-06-06,1.0,1.0
44,RI,2026-05-16,2026-06-06,1.0,1.0
45,SC,2026-05-16,2026-06-06,1.0,0.993
46,SD,2026-05-16,2026-06-06,0.981,0.998
47,TN,2026-05-16,2026-06-06,1.0,1.0
48,TX,2026-05-16,2026-06-06,1.0,1.0
49,UT,2026-05-16,2026-06-06,1.0,1.0
50,VT,2026-05-16,2026-06-06,0.94,0.987
51,VA,2026-05-16,2026-06-06,1.0,0.944
53,WA,2026-05-16,2026-06-06,1.0,0.936
54,WV,2026-05-16,2026-06-06,1.0,1.0
55,WI,2026-05-16,2026-06-06,1.0,1.0
56,WY,2026-05-16,2026-06-06,1.0,1.0
72,PR,2026-05-16,2026-06-06,1.0,1.0
