fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-05-09,2026-05-23,1.0,1.0
1,AL,2026-05-09,2026-05-23,1.0,0.997
2,AK,2026-05-09,2026-05-23,0.907,0.981
4,AZ,2026-05-09,2026-05-23,1.0,0.656
5,AR,2026-05-09,2026-05-23,1.0,1.0
6,CA,2026-05-09,2026-05-23,1.0,1.0
8,CO,2026-05-09,2026-05-23,1.0,1.0
9,CT,2026-05-09,2026-05-23,0.952,0.992
10,DE,2026-05-09,2026-05-23,0.881,0.982
11,DC,2026-05-09,2026-05-23,0.882,0.982
12,FL,2026-05-09,2026-05-23,1.0,1.0
13,GA,2026-05-09,2026-05-23,1.0,0.864
15,HI,2026-05-09,2026-05-23,1.0,0.98
16,ID,2026-05-09,2026-05-23,0.955,0.996
17,IL,2026-05-09,2026-05-23,1.0,0.977
18,IN,2026-05-09,2026-05-23,1.0,0.98
19,IA,2026-05-09,2026-05-23,0.862,0.977
20,KS,2026-05-09,2026-05-23,0.964,0.996
21,KY,2026-05-09,2026-05-23,0.859,0.997
22,LA,2026-05-09,2026-05-23,1.0,0.87
23,ME,2026-05-09,2026-05-23,0.947,0.992
24,MD,2026-05-09,2026-05-23,1.0,0.996
25,MA,2026-05-09,2026-05-23,1.0,1.0
26,MI,2026-05-09,2026-05-23,1.0,0.976
27,MN,2026-05-09,2026-05-23,1.0,0.998
28,MS,2026-05-09,2026-05-23,0.976,1.0
29,MO,2026-05-09,2026-05-23,1.0,0.996
30,MT,2026-05-09,2026-05-23,0.947,0.991
31,NE,2026-05-09,2026-05-23,0.867,0.97
32,NV,2026-05-09,2026-05-23,1.0,0.96
33,NH,2026-05-09,2026-05-23,0.929,0.988
34,NJ,2026-05-09,2026-05-23,1.0,0.637
35,NM,2026-05-09,2026-05-23,0.984,0.998
36,NY,2026-05-09,2026-05-23,1.0,0.835
37,NC,2026-05-09,2026-05-23,1.0,0.997
38,ND,2026-05-09,2026-05-23,1.0,1.0
39,OH,2026-05-09,2026-05-23,1.0,0.991
40,OK,2026-05-09,2026-05-23,1.0,1.0
41,OR,2026-05-09,2026-05-23,0.973,0.997
42,PA,2026-05-09,2026-05-23,1.0,1.0
44,RI,2026-05-09,2026-05-23,0.939,0.991
45,SC,2026-05-09,2026-05-23,1.0,0.998
46,SD,2026-05-09,2026-05-23,0.966,0.996
47,TN,2026-05-09,2026-05-23,1.0,0.781
48,TX,2026-05-09,2026-05-23,1.0,1.0
49,UT,2026-05-09,2026-05-23,0.956,0.994
50,VT,2026-05-09,2026-05-23,0.902,0.98
51,VA,2026-05-09,2026-05-23,1.0,0.982
53,WA,2026-05-09,2026-05-23,1.0,0.979
54,WV,2026-05-09,2026-05-23,0.948,0.991
55,WI,2026-05-09,2026-05-23,0.918,0.989
56,WY,2026-05-09,2026-05-23,1.0,1.0
72,PR,2026-05-09,2026-05-23,1.0,1.0
