fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
1,AL,2026-05-23,2026-06-13,1.0,0.972
2,AK,2026-05-23,2026-06-13,0.925,0.985
4,AZ,2026-05-23,2026-06-13,1.0,1.0
5,AR,2026-05-23,2026-06-13,1.0,1.0
6,CA,2026-05-23,2026-06-13,1.0,1.0
8,CO,2026-05-23,2026-06-13,1.0,1.0
9,CT,2026-05-23,2026-06-13,1.0,1.0
10,DE,2026-05-23,2026-06-13,0.98,0.997
11,DC,2026-05-23,2026-06-13,0.873,0.98
12,FL,2026-05-23,2026-06-13,1.0,1.0
13,GA,2026-05-23,2026-06-13,1.0,0.779
15,HI,2026-05-23,2026-06-13,1.0,0.935
16,ID,2026-05-23,2026-06-13,1.0,1.0
17,IL,2026-05-23,2026-06-13,1.0,0.734
18,IN,2026-05-23,2026-06-13,1.0,0.918
19,IA,2026-05-23,2026-06-13,0.877,0.983
20,KS,2026-05-23,2026-06-13,1.0,1.0
21,KY,2026-05-23,2026-06-13,1.0,0.982
22,LA,2026-05-23,2026-06-13,1.0,0.813
23,ME,2026-05-23,2026-06-13,0.98,0.997
24,MD,2026-05-23,2026-06-13,1.0,0.985
25,MA,2026-05-23,2026-06-13,1.0,1.0
26,MI,2026-05-23,2026-06-13,1.0,0.871
27,MN,2026-05-23,2026-06-13,1.0,0.992
28,MS,2026-05-23,2026-06-13,1.0,0.994
29,MO,2026-05-23,2026-06-13,1.0,0.975
30,MT,2026-05-23,2026-06-13,0.964,0.994
31,NE,2026-05-23,2026-06-13,0.9,0.98
32,NV,2026-05-23,2026-06-13,1.0,0.0
33,NH,2026-05-23,2026-06-13,0.929,0.988
34,NJ,2026-05-23,2026-06-13,1.0,1.0
35,NM,2026-05-23,2026-06-13,1.0,1.0
36,NY,2026-05-23,2026-06-13,1.0,1.0
37,NC,2026-05-23,2026-06-13,1.0,0.989
38,ND,2026-05-23,2026-06-13,1.0,1.0
39,OH,2026-05-23,2026-06-13,1.0,0.946
40,OK,2026-05-23,2026-06-13,1.0,1.0
41,OR,2026-05-23,2026-06-13,1.0,1.0
42,PA,2026-05-23,2026-06-13,1.0,1.0
44,RI,2026-05-23,2026-06-13,1.0,1.0
45,SC,2026-05-23,2026-06-13,1.0,0.993
46,SD,2026-05-23,2026-06-13,0.945,0.993
47,TN,2026-05-23,2026-06-13,1.0,1.0
48,TX,2026-05-23,2026-06-13,1.0,1.0
49,UT,2026-05-23,2026-06-13,1.0,1.0
50,VT,2026-05-23,2026-06-13,0.94,0.987
51,VA,2026-05-23,2026-06-13,1.0,0.954
53,WA,2026-05-23,2026-06-13,1.0,0.92
54,WV,2026-05-23,2026-06-13,1.0,1.0
55,WI,2026-05-23,2026-06-13,1.0,1.0
56,WY,2026-05-23,2026-06-13,1.0,1.0
72,PR,2026-05-23,2026-06-13,1.0,1.0
