fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-05-09,2026-05-30,1.0,1.0
1,AL,2026-05-09,2026-05-30,1.0,0.965
2,AK,2026-05-09,2026-05-30,0.944,0.988
4,AZ,2026-05-09,2026-05-30,1.0,1.0
5,AR,2026-05-09,2026-05-30,1.0,1.0
6,CA,2026-05-09,2026-05-30,1.0,1.0
8,CO,2026-05-09,2026-05-30,1.0,1.0
9,CT,2026-05-09,2026-05-30,1.0,1.0
10,DE,2026-05-09,2026-05-30,0.915,0.986
11,DC,2026-05-09,2026-05-30,0.882,0.982
12,FL,2026-05-09,2026-05-30,1.0,1.0
13,GA,2026-05-09,2026-05-30,1.0,0.72
15,HI,2026-05-09,2026-05-30,1.0,0.961
16,ID,2026-05-09,2026-05-30,0.985,0.999
17,IL,2026-05-09,2026-05-30,1.0,0.893
18,IN,2026-05-09,2026-05-30,1.0,0.944
19,IA,2026-05-09,2026-05-30,0.862,0.977
20,KS,2026-05-09,2026-05-30,1.0,1.0
21,KY,2026-05-09,2026-05-30,0.974,0.999
22,LA,2026-05-09,2026-05-30,1.0,1.0
23,ME,2026-05-09,2026-05-30,1.0,1.0
24,MD,2026-05-09,2026-05-30,1.0,0.985
25,MA,2026-05-09,2026-05-30,1.0,1.0
26,MI,2026-05-09,2026-05-30,1.0,0.922
27,MN,2026-05-09,2026-05-30,1.0,0.995
28,MS,2026-05-09,2026-05-30,1.0,0.996
29,MO,2026-05-09,2026-05-30,1.0,0.96
30,MT,2026-05-09,2026-05-30,0.965,0.994
31,NE,2026-05-09,2026-05-30,0.867,0.97
32,NV,2026-05-09,2026-05-30,1.0,0.511
33,NH,2026-05-09,2026-05-30,0.929,0.988
34,NJ,2026-05-09,2026-05-30,1.0,1.0
35,NM,2026-05-09,2026-05-30,1.0,1.0
36,NY,2026-05-09,2026-05-30,1.0,0.0
37,NC,2026-05-09,2026-05-30,1.0,0.992
38,ND,2026-05-09,2026-05-30,1.0,1.0
39,OH,2026-05-09,2026-05-30,1.0,0.959
40,OK,2026-05-09,2026-05-30,1.0,1.0
41,OR,2026-05-09,2026-05-30,0.987,0.999
42,PA,2026-05-09,2026-05-30,1.0,1.0
44,RI,2026-05-09,2026-05-30,0.985,0.998
45,SC,2026-05-09,2026-05-30,1.0,0.994
46,SD,2026-05-09,2026-05-30,0.966,0.996
47,TN,2026-05-09,2026-05-30,1.0,1.0
48,TX,2026-05-09,2026-05-30,1.0,1.0
49,UT,2026-05-09,2026-05-30,1.0,1.0
50,VT,2026-05-09,2026-05-30,0.941,0.988
51,VA,2026-05-09,2026-05-30,1.0,0.934
53,WA,2026-05-09,2026-05-30,1.0,0.943
54,WV,2026-05-09,2026-05-30,1.0,1.0
55,WI,2026-05-09,2026-05-30,0.967,0.995
56,WY,2026-05-09,2026-05-30,1.0,1.0
72,PR,2026-05-09,2026-05-30,1.0,1.0
