fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
1,AL,2026-08-15,2026-09-05,0.892,0.983
2,AK,2026-08-15,2026-09-05,0.928,0.984
4,AZ,2026-08-15,2026-09-05,0.934,0.987
5,AR,2026-08-15,2026-09-05,0.852,0.97
6,CA,2026-08-15,2026-09-05,0.845,0.977
8,CO,2026-08-15,2026-09-05,0.903,0.979
9,CT,2026-08-15,2026-09-05,0.926,0.985
10,DE,2026-08-15,2026-09-05,0.909,0.982
11,DC,2026-08-15,2026-09-05,0.889,0.978
12,FL,2026-08-15,2026-09-05,0.929,0.985
13,GA,2026-08-15,2026-09-05,0.924,0.982
15,HI,2026-08-15,2026-09-05,0.909,0.982
16,ID,2026-08-15,2026-09-05,0.922,0.984
17,IL,2026-08-15,2026-09-05,0.612,0.969
18,IN,2026-08-15,2026-09-05,0.859,0.97
19,IA,2026-08-15,2026-09-05,0.885,0.978
20,KS,2026-08-15,2026-09-05,0.912,0.983
21,KY,2026-08-15,2026-09-05,0.819,0.958
22,LA,2026-08-15,2026-09-05,0.897,0.98
23,ME,2026-08-15,2026-09-05,0.904,0.981
24,MD,2026-08-15,2026-09-05,0.897,0.981
25,MA,2026-08-15,2026-09-05,0.922,0.984
26,MI,2026-08-15,2026-09-05,0.947,0.99
27,MN,2026-08-15,2026-09-05,0.918,0.984
28,MS,2026-08-15,2026-09-05,0.952,0.99
29,MO,2026-08-15,2026-09-05,0.925,0.986
30,MT,2026-08-15,2026-09-05,0.885,0.976
31,NE,2026-08-15,2026-09-05,0.904,0.981
32,NV,2026-08-15,2026-09-05,0.925,0.986
33,NH,2026-08-15,2026-09-05,0.907,0.981
34,NJ,2026-08-15,2026-09-05,0.947,0.99
35,NM,2026-08-15,2026-09-05,0.914,0.983
36,NY,2026-08-15,2026-09-05,0.916,0.983
37,NC,2026-08-15,2026-09-05,0.938,0.988
38,ND,2026-08-15,2026-09-05,0.911,0.982
39,OH,2026-08-15,2026-09-05,0.923,0.984
40,OK,2026-08-15,2026-09-05,0.877,0.977
41,OR,2026-08-15,2026-09-05,0.866,0.973
42,PA,2026-08-15,2026-09-05,0.985,0.997
44,RI,2026-08-15,2026-09-05,0.889,0.978
45,SC,2026-08-15,2026-09-05,0.901,0.979
46,SD,2026-08-15,2026-09-05,0.917,0.983
47,TN,2026-08-15,2026-09-05,0.96,0.992
48,TX,2026-08-15,2026-09-05,0.874,0.959
49,UT,2026-08-15,2026-09-05,0.933,0.987
50,VT,2026-08-15,2026-09-05,0.889,0.978
51,VA,2026-08-15,2026-09-05,0.901,0.982
53,WA,2026-08-15,2026-09-05,0.843,0.977
54,WV,2026-08-15,2026-09-05,0.911,0.982
55,WI,2026-08-15,2026-09-05,0.869,0.977
56,WY,2026-08-15,2026-09-05,0.909,0.982
72,PR,2026-08-15,2026-09-05,0.991,0.998
