state,rho_global_mean,rho_season_sd,fI_global_mean,fI_season_sd,fR_global_mean,fR_season_sd,psi_1,psi_2,phi,omega,a_garch,b_garch,alpha_inv,rho_state,fI_state,fR_state,delta_beta_state_mean_0,delta_beta_state_mean_1,delta_beta_state_mean_2,delta_beta_state_mean_3,delta_beta_state_mean_4,delta_beta_state_mean_5,delta_beta_state_mean_6,delta_beta_state_mean_7,delta_beta_state_mean_8,delta_beta_state_mean_9,delta_beta_state_mean_10,delta_beta_state_mean_11,delta_beta_state_mean_12,delta_beta_state_mean_13,delta_beta_state_mean_14,delta_beta_state_mean_15,delta_beta_state_mean_16,delta_beta_state_mean_17,delta_beta_state_mean_18,delta_beta_state_mean_19,delta_beta_state_mean_20,delta_beta_state_mean_21,delta_beta_state_mean_22,delta_beta_state_mean_23,delta_beta_state_mean_24,delta_beta_state_mean_25,delta_beta_state_mean_26,delta_beta_state_mean_27,delta_beta_state_mean_28,delta_beta_state_mean_29,delta_beta_state_mean_30,delta_beta_state_mean_31,delta_beta_state_mean_32,delta_beta_state_mean_33,delta_beta_state_mean_34
AL,0.009910227367864158,0.22389272076493422,5.0982437217343677e-05,0.5276163408040586,0.36757854196264533,0.0667247266100087,0.8324686119416771,0.28657317090369394,0.375,0.005,0.2,0.0,0.0014302445753030077,1.4719454478942549,1.4508012273845967,0.926823156402275,0.029596163551108882,-0.21381285397978061,-0.027365356554897576,0.05896532287592581,0.015481326309339937,-0.001980246162345952,0.043938490121392636,0.12442902536498182,0.17892338459035612,0.14703958889819324,0.059297329148022444,0.04216650421866726,0.14131344648518535,0.2610433630457526,0.3142666828726517,0.23581806149423873,0.01183303069805146,-0.16021164103152408,-0.10927656671414393,0.03351362821244956,0.0850920876026108,0.05447624149648424,-0.007928642065160172,-0.055229240326463494,-0.0531938120772467,-0.023540664946883297,-0.010896400913673634,-0.040659003966355016,-0.09043089736053056,-0.12015915834879193,-0.11098971294529883,-0.04955323226548522,-0.025789957125117023,-0.04669960434487934,0.05224207966529501
AK,0.009910227367864158,0.22389272076493422,5.0982437217343677e-05,0.5276163408040586,0.36757854196264533,0.0667247266100087,0.8324686119416771,0.28657317090369394,0.375,0.005,0.2,0.0,0.0005826056768749646,0.49141282160882455,3.4274508054976875,0.8757962720084898,0.1833732954060311,-0.06263430526788412,-0.04913723417725957,-0.0508358314222877,-0.0646612081750966,0.0814923818146891,0.2405697923219075,0.203713555612901,0.014624348882880004,-0.03425387971366113,0.07195085018502335,0.1372999810423604,0.09648439038912567,0.07671564244635609,0.1235195585408732,0.15593706190149842,0.10153066822731366,0.03203576545467139,0.04174261541306799,0.07075721448883027,0.08098701130061667,0.08864233394971367,0.10613858968558687,0.1514672305181719,0.17654767166238072,0.17221345549430706,0.16321589384167873,0.15391876484505224,0.1346986157086842,0.10220410364267576,0.06463736488833312,0.05510395298023693,0.10604761187604486,0.2194413103583131,0.21880465419784167
AZ,0.009910227367864158,0.22389272076493422,5.0982437217343677e-05,0.5276163408040586,0.36757854196264533,0.0667247266100087,0.8324686119416771,0.28657317090369394,0.375,0.005,0.2,0.0,0.0029072891251419315,2.270276889718989,0.6661094093096587,0.9196866674604196,-0.001241060528203163,-0.0067063620476814296,-0.01019999112555987,0.021799704052501694,0.078472691691885,0.11074269260719866,0.1250351085908797,0.15589425578896499,0.18163071214171334,0.167542659255126,0.11364463684272003,0.07323291041392668,0.08635002933664801,0.16368584911069234,0.2620248351352894,0.23378482100530829,0.015515292036986376,-0.16522077605832186,-0.11476318389290976,0.019115717659369726,0.05063901929083364,0.0003369706245221836,-0.003357665191987061,0.02410090003783312,0.01481233333054371,-0.026304721747449945,-0.04377161397260514,-0.03419061588239111,-0.05482074634592681,-0.09656086539817083,-0.06523130256610804,0.06180690073685459,0.12418165823928864,0.035266833236364814,0.005873253175835586
AR,0.009910227367864158,0.22389272076493422,5.0982437217343677e-05,0.5276163408040586,0.36757854196264533,0.0667247266100087,0.8324686119416771,0.28657317090369394,0.375,0.005,0.2,0.0,0.0014708681040566899,1.3805210744491192,0.9138093283861781,0.9885494559335621,0.03238744569346799,0.05723600006771157,0.07658571818984967,0.027683191898782815,-0.044475538048048456,-0.0038784851646235796,0.09857783455763487,0.1476332719746524,0.14379575121594257,0.1275625369754229,0.12532965253014705,0.12211893072295357,0.12239687957467413,0.20504091667152086,0.32414043165588446,0.3206105288981849,0.11731783619704289,-0.054347103895639265,0.021207753581673927,0.17910314354247103,0.20302928243534663,0.12186141179661611,0.04450582787595437,0.013033353564910385,0.01871548279502834,0.03161788590487169,0.004132075886287287,-0.06853165440444639,-0.11844722647644164,-0.11315471864802697,-0.08146791595809709,-0.03383861820872446,0.030806046229315154,0.09443453795657987,0.04098534923159755
CA,0.009910227367864158,0.22389272076493422,5.0982437217343677e-05,0.5276163408040586,0.36757854196264533,0.0667247266100087,0.8324686119416771,0.28657317090369394,0.375,0.005,0.2,0.0,0.0034973978652535773,0.9852402586777192,1.0569213798499617,0.9532348106721571,0.0009739204504028204,0.0317328161074642,0.0069136577802589895,0.014659334048195267,0.0461410264589398,0.06669349913047815,0.09117609297196769,0.1260121208869367,0.16747682495168043,0.17153262185413712,0.1378582848216208,0.1204427811594372,0.1388755576785619,0.18488672593571306,0.21485412989380132,0.17893703690732288,0.047306448185724145,-0.05668632133578564,-0.023521737768704226,0.04296441863866888,0.046610806133807706,-0.0033069857260831156,-0.042004241183335844,-0.05455700177354775,-0.060291615626804955,-0.051580612257581294,-0.030002017293686036,-0.0025884823327920964,0.0007543207188132769,-0.012212259394403902,0.006814820358629398,0.049741638231691136,0.04901146174189194,-0.016541066369234362,-0.0403697702515424
CO,0.009910227367864158,0.22389272076493422,5.0982437217343677e-05,0.5276163408040586,0.36757854196264533,0.0667247266100087,0.8324686119416771,0.28657317090369394,0.375,0.005,0.2,0.0,0.0017176518043977786,0.5420225003361531,0.5943264081092269,0.9890710646896298,0.12002828549624026,0.25921353384429335,0.1512856072702456,0.06988310666202634,0.06508389201030688,0.11208906308094689,0.1765773476505818,0.2278785898632071,0.24815682241270032,0.24172720621498667,0.21631113913703737,0.17080454254917227,0.14280189580415112,0.1847503914612856,0.29419481342155607,0.30706395478947623,0.14464658281171827,-0.02399559934524107,-0.011840864480260643,0.0945350137128107,0.18005149007344357,0.20831774742246376,0.1909147887563416,0.16582248368449093,0.17979554648416965,0.22049753288868124,0.2270812815193105,0.18552100450539738,0.1409635876891342,0.1259001438083631,0.155389084855593,0.2206083168453769,0.2620246122354434,0.25728653589524286,0.20002994864916773
CT,0.009910227367864158,0.22389272076493422,5.0982437217343677e-05,0.5276163408040586,0.36757854196264533,0.0667247266100087,0.8324686119416771,0.28657317090369394,0.375,0.005,0.2,0.0,0.0013213407661339298,0.7584792991971401,1.503339468243137,0.9084664769781219,0.05462950403901426,0.0949115561972671,-0.09599736343053145,-0.2234348997122899,-0.21355650575497276,0.0037152136446334063,0.21923853154946799,0.22011985301651887,0.059988422344860765,0.041432654803783664,0.19036782396686447,0.2669772792569366,0.2019113706230362,0.19327370211214978,0.300921894911816,0.31761861358138754,0.13448869931712099,-0.06147197983563712,-0.05617652035942227,0.03546663873624938,0.047607566374052473,0.02773646815701329,0.07667536445812467,0.15329211675975035,0.1432589822753903,0.08055129951003154,0.0602825093880248,0.09662633190523154,0.11492993599878883,0.10588861672827574,0.11551077868925133,0.16753524585912077,0.14001626425972827,0.005069688116644223,-0.11769803752352734
DE,0.009910227367864158,0.22389272076493422,5.0982437217343677e-05,0.5276163408040586,0.36757854196264533,0.0667247266100087,0.8324686119416771,0.28657317090369394,0.375,0.005,0.2,0.0,0.000466980742548915,1.0297868849790226,0.2044707845092899,1.0724140483179099,0.07561027540172217,-0.014044140001130918,-0.10946288619625072,-0.0739323715127565,0.07336165384310694,0.2568797652789002,0.4003516815787586,0.46442215199199066,0.4464215819807342,0.3317418511293211,0.19695363196996757,0.17777207409580625,0.2991614378963232,0.4216424066774641,0.43758167742215814,0.34709053219970465,0.16074496711970604,-0.007289963115305571,-0.005718140914894986,0.09030422531812163,0.14397212145757443,0.158818405465876,0.147434903057855,0.1300169827841266,0.12220322265484415,0.11274299631590975,0.09292481541252294,0.06455595791857952,0.06227523575234123,0.07429529017476927,0.04245513715196923,-0.01081423702014795,0.06749516969521316,0.2533973064567727,0.00832847689551345
DC,0.009910227367864158,0.22389272076493422,5.0982437217343677e-05,0.5276163408040586,0.36757854196264533,0.0667247266100087,0.8324686119416771,0.28657317090369394,0.375,0.005,0.2,0.0,0.0005261815377469439,1.0541555217095082,0.2589276271214661,0.9671025267193551,0.055852456185548294,0.27317086425895776,0.36074947964222054,0.31810685522649973,0.1137649326966656,-0.24090385985327417,-0.4326974150236148,-0.13816461666067198,0.4429424167648903,0.5999540838345795,0.39071558729895095,0.10637137720559404,0.06358493469193405,0.18345242424692915,0.33127116306713866,0.3299204346460006,0.11422717444580982,-0.1048673289453453,-0.09137720826742513,-0.000440665728054502,-0.02211147917573965,-0.07448811898402079,-0.005723099114794506,0.12137044023287791,0.1519880166926521,0.09336109469894391,0.06539005109151527,0.08971573376469569,0.09238416593828788,0.03670910523436978,0.017311744581300727,0.048929184930050246,0.035090689859576966,-0.009430089205019889,0.12827181730018564
FL,0.009910227367864158,0.22389272076493422,5.0982437217343677e-05,0.5276163408040586,0.36757854196264533,0.0667247266100087,0.8324686119416771,0.28657317090369394,0.375,0.005,0.2,0.0,0.0033210103829714147,1.41330222806693,3.7606000483326074,0.9933842738494589,0.027106556105713567,-0.03276711829724288,-0.007793715209494109,0.025908412003162306,0.0513456734772078,0.08077608938066681,0.11625946319615381,0.14053418876892215,0.15079021987213817,0.14616798812027054,0.12597900934093129,0.08532993277819213,0.05838503133853301,0.09646942924215565,0.1956311293006676,0.22987802735048823,0.12513563458964383,0.0039246197755203995,-0.012738588218945884,0.04620058191314899,0.11282356829098394,0.1328703481880174,0.08184361523159436,0.008659344569735888,-0.012571458232109098,0.020713776499376363,0.038871005375321004,0.011129073772769737,-0.007937831474131522,0.0013681458659563963,0.03653597813358947,0.07500536490554569,0.08419047739755163,0.06663774065959058,0.08459105165984798
GA,0.009910227367864158,0.22389272076493422,5.0982437217343677e-05,0.5276163408040586,0.36757854196264533,0.0667247266100087,0.8324686119416771,0.28657317090369394,0.375,0.005,0.2,0.0,0.0023730146695550946,0.932213397071565,1.574919734208049,1.0185720855043447,0.06733095029638665,0.002181259989411032,-0.0009737544627317625,-0.010323306763330448,-0.0006498752775300263,0.05248786978992774,0.13255343917550927,0.21104666611029405,0.24382037670351525,0.20527772573618525,0.12874876353493653,0.11600813410780754,0.19013357024653965,0.30191203555972446,0.36758115261985086,0.3090685373283402,0.08186327054504172,-0.09893782512934704,-0.04979638198497512,0.09403621410841184,0.13397782457392474,0.0833337290359668,0.029039963931414947,0.01282404435654639,0.029278961853708686,0.04811221666073247,0.022260950979350075,-0.023124740295307446,-0.027697275587542605,0.029725691645862494,0.05710381139824407,0.010761180819726827,-0.031286483887635656,0.014243848297701965,0.11825392018896597
HI,0.009910227367864158,0.22389272076493422,5.0982437217343677e-05,0.5276163408040586,0.36757854196264533,0.0667247266100087,0.8324686119416771,0.28657317090369394,0.375,0.005,0.2,0.0,0.0005462617836742595,1.2571169980632553,1.9879289880451223,0.9595831793476197,0.09815270570357262,-0.19333111281376414,-0.11069513742516336,0.07206627822697474,0.1795166143345014,0.10748892941729704,-0.019206135695525213,0.032843697897772625,0.20577637065527304,0.2474550318416353,0.12502130748113607,0.040302815241334555,0.07994093045835307,0.13520346059234717,0.14174152562388187,0.11068846855254569,0.06710011890654755,0.007817473081968649,-0.05496350554559644,-0.08631460643942132,-0.04794648400162457,0.003355626746733311,-0.00011732381241099106,-0.02382751274565744,0.01813843423769547,0.07604531342142805,0.028312148943239662,-0.11116588326966495,-0.13843825294187181,-0.00989577935446052,0.10799683652426126,0.13489292099521527,0.17542798029175025,0.20173849602926694,-0.29667791373590147
