reference_date,target,horizon,location,output_type,output_type_id,value,target_end_date
2027-01-09,wk inc flu hosp,0,01,quantile,0.01,100,2027-01-09
2027-01-09,wk inc flu hosp,0,01,quantile,0.025,105,2027-01-09
2027-01-09,wk inc flu hosp,0,01,quantile,0.05,109,2027-01-09
2027-01-09,wk inc flu hosp,0,01,quantile,0.1,119,2027-01-09
2027-01-09,wk inc flu hosp,0,01,quantile,0.15,124,2027-01-09
2027-01-09,wk inc flu hosp,0,01,quantile,0.2,130,2027-01-09
2027-01-09,wk inc flu hosp,0,01,quantile,0.25,132,2027-01-09
2027-01-09,wk inc flu hosp,0,01,quantile,0.3,135,2027-01-09
2027-01-09,wk inc flu hosp,0,01,quantile,0.35,138,2027-01-09
2027-01-09,wk inc flu hosp,0,01,quantile,0.4,141,2027-01-09
2027-01-09,wk inc flu hosp,0,01,quantile,0.45,143,2027-01-09
2027-01-09,wk inc flu hosp,0,01,quantile,0.5,147,2027-01-09
2027-01-09,wk inc flu hosp,0,01,quantile,0.55,150,2027-01-09
2027-01-09,wk inc flu hosp,0,01,quantile,0.6,153,2027-01-09
2027-01-09,wk inc flu hosp,0,01,quantile,0.65,156,2027-01-09
2027-01-09,wk inc flu hosp,0,01,quantile,0.7,161,2027-01-09
2027-01-09,wk inc flu hosp,0,01,quantile,0.75,163,2027-01-09
2027-01-09,wk inc flu hosp,0,01,quantile,0.8,168,2027-01-09
2027-01-09,wk inc flu hosp,0,01,quantile,0.85,176,2027-01-09
2027-01-09,wk inc flu hosp,0,01,quantile,0.9,183,2027-01-09
2027-01-09,wk inc flu hosp,0,01,quantile,0.95,192,2027-01-09
2027-01-09,wk inc flu hosp,0,01,quantile,0.975,204,2027-01-09
2027-01-09,wk inc flu hosp,0,01,quantile,0.99,210,2027-01-09
2027-01-09,wk inc flu hosp,0,02,quantile,0.01,5,2027-01-09
2027-01-09,wk inc flu hosp,0,02,quantile,0.025,6,2027-01-09
2027-01-09,wk inc flu hosp,0,02,quantile,0.05,7,2027-01-09
2027-01-09,wk inc flu hosp,0,02,quantile,0.1,9,2027-01-09
2027-01-09,wk inc flu hosp,0,02,quantile,0.15,9,2027-01-09
2027-01-09,wk inc flu hosp,0,02,quantile,0.2,10,2027-01-09
2027-01-09,wk inc flu hosp,0,02,quantile,0.25,11,2027-01-09
2027-01-09,wk inc flu hosp,0,02,quantile,0.3,11,2027-01-09
2027-01-09,wk inc flu hosp,0,02,quantile,0.35,12,2027-01-09
2027-01-09,wk inc flu hosp,0,02,quantile,0.4,13,2027-01-09
2027-01-09,wk inc flu hosp,0,02,quantile,0.45,13,2027-01-09
2027-01-09,wk inc flu hosp,0,02,quantile,0.5,14,2027-01-09
2027-01-09,wk inc flu hosp,0,02,quantile,0.55,14,2027-01-09
2027-01-09,wk inc flu hosp,0,02,quantile,0.6,15,2027-01-09
2027-01-09,wk inc flu hosp,0,02,quantile,0.65,16,2027-01-09
2027-01-09,wk inc flu hosp,0,02,quantile,0.7,17,2027-01-09
2027-01-09,wk inc flu hosp,0,02,quantile,0.75,17,2027-01-09
2027-01-09,wk inc flu hosp,0,02,quantile,0.8,19,2027-01-09
